"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tire_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","Road Bike","Caliper Brake - Side Pull","Giant","","","White","Tweedehands","","Unisex Adults","","","","","M-L","","Derailleur Gears","","Drop Bar","","","","TCR","","","","","","Road Bike Shifter","","","No Suspension","","","No","","700C","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","1","GBP 599,99","ebay_belgium_bicycle","2022-10-17 20:36:56","www.benl.ebay.be","Belgium","https://www.benl.ebay.be/itm/354324231434?hash=item527f5eb50a:g:HiMAAOSwmVZjHa3p&amdata=enc%3AAQAHAAAAoIIKW8bXrIuEuZniu30MLArtZxIsmHZDvGW2TD4Wu7UP1TzqmPWz3RsEWdINk0%2FpYqVPaATt8RM6%2FK4hDdjiArOJwNKKHd4uM6a%2BOYN%2FP0%2BkydAVtYB0sScqDht7LZMgyHh4L7Xtyjn2GOfDAJnPTfhjw9k7J3LQxHUjN%2BrNDb%2FMmauENKPg%2Fs6Bk1yRXC0Mdom%2FgL%2Bkvh7%2BpFBebdMmw6c%3D%7Ctkp%3ABk9SR_qQz_r8YA",""," Giant Tcr Full Carbon Road Bike M-L","","Fietsen"
"","","Hybrid Bike","","Giant","","","","Tweedehands: Een object dat eerder al gebruikt werd. Het object kan tekens van slijtage vertonen maar werkt nog naar behoren. Dit object kan een showroommodel zijn of een object dat na een tijdje werd teruggebracht naar de verkoper. Bekijk de aanbieding van de verkoper voor de volledige details en een beschrijving van de gebreken. ","","","","","","","XL","","","","","","","","","","","","","","","","","","","","","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","2","US $649,99","ebay_belgium_bicycle","2022-10-17 20:36:56","www.benl.ebay.be","Belgium","https://www.benl.ebay.be/itm/374281569745?hash=item5724eb85d1:g:59MAAOSwRvxjNvAB&amdata=enc%3AAQAHAAAAoBnTRtsu35TfVEknaKqBmml9ecL%2F40eH94I%2B%2BqU6tBrnAiK8W0yP5spwUj%2FfOOALt2C%2B8X5fAgk5z6FzGKywPhsp2DnYuksN5pyiDIRetKl9qZKXeTytqTNXRCa94sIYbnC0wG%2BjyyH6xvX86RmcLbkJZf9PK0Wmhe7U49rW0ik5Q9F%2FGRaVZd5RYpD8IDEIve0fVt1kFH%2FxtAAZeN%2FOLdw%3D%7Ctkp%3ABk9SR_iQz_r8YA",""," USED Giant Escape 2 Disc XL Fitness Hybrid Bike Flat Bar 3x8 speed","","Fietsen"
"","","Hybrid Bike","","Liv","","","","Tweedehands: Een object dat eerder al gebruikt werd. Het object kan tekens van slijtage vertonen maar werkt nog naar behoren. Dit object kan een showroommodel zijn of een object dat na een tijdje werd teruggebracht naar de verkoper. Bekijk de aanbieding van de verkoper voor de volledige details en een beschrijving van de gebreken. ","","","","","","","X-Small","","","","","","","","","","","","","","","","","","","","","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","3","US $499,99","ebay_belgium_bicycle","2022-10-17 20:36:56","www.benl.ebay.be","Belgium","https://www.benl.ebay.be/itm/125537957342?hash=item1d3aa535de:g:MXQAAOSwbCVjQWLH&amdata=enc%3AAQAHAAAAoJCNX4rtzeufbo2tY85BsETfSHbP%2FkEzzHZFAVzAyjO37906c69A0%2F8JGwXB05DCGzrBR4eH3tMIPUT5ePKeMa3arIRWZm804%2Fzg7zxJS3NUS%2FwBPSeOvQjhgS7ETuEnbP2U5paSDhLD%2FMdhXJDXdQzDgACs%2BiTvBgKkHrZvj0c4%2F8eRrR84oH2KKblOQhk3ZIZbd%2FX47%2FEaDYn0r5t7DTA%3D%7Ctkp%3ABk9SR_iQz_r8YA",""," USED Giant Liv Via 2 XS Step Thru Urban Cruiser Commuter 700c 8 speed","","Fietsen"
"","","","","Giant","","","","Tweedehands: Een object dat eerder al gebruikt werd. Het object kan tekens van slijtage vertonen maar werkt nog naar behoren. Dit object kan een showroommodel zijn of een object dat na een tijdje werd teruggebracht naar de verkoper. Bekijk de aanbieding van de verkoper voor de volledige details en een beschrijving van de gebreken. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","4","EUR 290,00","ebay_belgium_bicycle","2022-10-17 20:36:56","www.benl.ebay.be","Belgium","https://www.benl.ebay.be/itm/185582926657?hash=item2b359abb41:g:FFsAAOSwLW9jJK~H&amdata=enc%3AAQAHAAAA4HcfYtrFs%2FYLoGzjdhKCfJ0OONsy3c4GcxQIPEf0yQq%2Bc%2BrhCp8KsWVzwQ1XLc9EQ4sChcn4RoVRUU0mSXD6XWCAZeZJvEMdDBLJxElHdOnES3RWPjt0y5lagCF883YeaTR8C3Ki5tiyv%2B3GwMSZ8hUELrm4o2YGWWYW%2BgT81XZSfcdQioPQi2sJ%2Fi2l7Q8ECYQGBgimrk2pwI2lNX0hyUQtolIjIkMVbzQESdqzaGQpVpR%2FTyYO745j5i2002G%2F%2FO2N%2F0XJ967vKJEYOyjIN2DV970ZEbdf%2FLdXjaCS68RM%7Ctkp%3ABk9SR_iQz_r8YA",""," Telaio Corsa In Carbonio Giant Cadex C.f.r","","Fietsen"
"","","Hybrid Bike","V-Brake (Direct/Linear Pull)","Giant","","","Rosewood","Nieuw: Een gloednieuw, ongebruikt, ongeopend en onbeschadigd object in de originele verpakking (indien van toepassing). De verpakking moet dezelfde zijn als degene die u kunt vinden in de winkel, tenzij het object werd verpakt door de fabrikant in een verpakking die niet bestemd is voor kleinhandel, zoals een onbedrukte doos of plastic zak. Voor de volledige gegevens bekijkt u de aanbieding van de verkoper. ","","Unisex Adults","","","","","Large","","Derailleur Gears","","Riser Bar","","","Aluminum","Escape 3 Comfort","","21 Speed","","","","Trigger Shifter","","","","","","","","700C","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","5","US $550,00","ebay_belgium_bicycle","2022-10-17 20:36:57","www.benl.ebay.be","Belgium","https://www.benl.ebay.be/itm/275460427827?hash=item4022b89033:g:DDAAAOSwcHRjIf8l&amdata=enc%3AAQAHAAAAoLF5yTrLxgP7Zwvo3A0p4Kxq9QjHJHuP3vmIB5eF8bmHpAG8M8eIaY1JXA2XDm0hw7qqS%2FOzpZpePxrw0l%2BjeJMDnAAiJkCn25xmUBcaBwPfx8VgAGkPkjfEFVOgQIO%2BGKnbSNlXcEfZO%2Bli6Bx7tw4B1bD00fMNEqH%2Ftr06Y1H3NcCTvETaclY4yAjJ9xZrqJYZ%2FqgakCIgYe8mYVt%2F5Iw%3D%7Ctkp%3ABk9SR_qQz_r8YA",""," Giant Escape 3 Comfort L","","Fietsen"
"","1","Mountain Bike","Disc Brake - Hydraulic","Giant","","","Blue","Tweedehands: Een object dat eerder al gebruikt werd. Het object kan tekens van slijtage vertonen maar werkt nog naar behoren. Dit object kan een showroommodel zijn of een object dat na een tijdje werd teruggebracht naar de verkoper. Bekijk de aanbieding van de verkoper voor de volledige details en een beschrijving van de gebreken. ","","Unisex Adults","","","","","Small","","","","","","","","","2021","","","","","","","","Full Suspension (Front & Rear)","","","No","","29 in","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","6","","ebay_belgium_bicycle","2022-10-17 20:36:57","www.benl.ebay.be","Belgium","https://www.benl.ebay.be/itm/354325426150?hash=item527f70efe6:g:Wx8AAOSwPTxjRY1U&amdata=enc%3AAQAHAAAA4IrafdUey1jRWQTusD7L3Y1UbDHdN%2BgpnKxTGxtZhGlO7EcmBWP57Zql4tnUiK5GOHEdAw50h760ZuexklULvA4wVY6CyKsptc735RiVLlJAr%2FeddxhB92Lwib5uCNaNu4DEZeAvR73ze1FZWJoJ5w6um%2Fn3nLeBx6y4t872eClREGwJc8aKIlUkHlZ8b%2FZ3sPwDloUTxFNrkE9WbqVLgXvGMKBT2qb6z7BxUfpWFNZy9WeTJNzyl8SwRFfFoSkZkljaNQDveVzkU75UdrOwwCPySoN1lc%2F9uUsBfDoffGIt%7Ctkp%3ABk9SR_iQz_r8YA","GBP 700,00"," Giant Stance 29 2020 Mountain Bike With Upgrades (dropper, Tubeless)","6","Fietsen"
"","","Mountain Bike","","Giant","","","","Tweedehands: Een object dat eerder al gebruikt werd. Het object kan tekens van slijtage vertonen maar werkt nog naar behoren. Dit object kan een showroommodel zijn of een object dat na een tijdje werd teruggebracht naar de verkoper. Bekijk de aanbieding van de verkoper voor de volledige details en een beschrijving van de gebreken. ","","","","","","","","","","","","","","","Giant Boulder","","","","","","","","","","","","No","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","7","US $200,00","ebay_belgium_bicycle","2022-10-17 20:36:57","www.benl.ebay.be","Belgium","https://www.benl.ebay.be/itm/175421902953?hash=item28d7f5d069:g:RO4AAOSwZVljKSDn&amdata=enc%3AAQAHAAAAoPmo6sS6dSErSEyk4Pu3daVgO3egbSvaMrdfm2%2BQZLwpxxRkUL6iKFWXd9roh%2Boa8tZJye%2FXCYs50kfCkg4vLLPcgWJgTYlgP4X%2Fjtzn52Gjczaset5lc5hGfZnQMiNE5LAoY0LxayrFJS25O9TakDYW%2BcL6XfQZvYzvg77TDg0NHF8PgxuAFVynsQlYs3iclfgfw2cJ93%2BPI1qOWOQSX20%3D%7Ctkp%3ABk9SR_iQz_r8YA",""," Giant Boulder Mountain Bicycle","","Fietsen"
"","2","Road Bike","","Giant","","","Black","Tweedehands: Een object dat eerder al gebruikt werd. Het object kan tekens van slijtage vertonen maar werkt nog naar behoren. Dit object kan een showroommodel zijn of een object dat na een tijdje werd teruggebracht naar de verkoper. Bekijk de aanbieding van de verkoper voor de volledige details en een beschrijving van de gebreken. ","","","","","","","M","","","","","","","Carbon Fiber","Defy Advanced 2","2020","11 Speed","","","","","","","","Tubeless Tires","","No","","700C","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","8","US $2.200,00","ebay_belgium_bicycle","2022-10-17 20:36:57","www.benl.ebay.be","Belgium","https://www.benl.ebay.be/itm/403915778585?hash=item5e0b41aa19:g:8nMAAOSwH4FjOATj&amdata=enc%3AAQAHAAAA4Dqxl5EqAm15WADIg3GCM%2FadlUMXfvu4u2UvMyMAgXcZzSS%2BNDsiXL%2FYochV0pxKaI%2FDgGVwnat%2BSeF2aPCVXR7SfWjmH2lU6PtlSegGg6eJpL0Cu1Ob9yKXet5ktXxuehXOlFaw%2FG%2FtEoKuumgtl65g7uFh9EZ7K8WO2pdBkdaoMNVDITrExmJ1wWksSc8lA07YSuy4zCfKmO7rdbBuPcN3e59eRZPt7N2JT%2FC6w%2BoWs8kOKJCNNSe%2BqOmAMLNTtQXYhjmAVi86XuAFf4hGBEUZ9ZiFHJoBFLkXvL38WB9%2B%7Ctkp%3ABk9SR_iQz_r8YA",""," 2020 Giant Defy Advanced 2 Medium Bike Ultegra 8020 Hydro","","Fietsen"
"","","NA","NA","GIANT","","","NA","Tweedehands: Een object dat eerder al gebruikt werd. Het object kan tekens van slijtage vertonen maar werkt nog naar behoren. Dit object kan een showroommodel zijn of een object dat na een tijdje werd teruggebracht naar de verkoper. Bekijk de aanbieding van de verkoper voor de volledige details en een beschrijving van de gebreken. ","","NA","","","","NA","NA","","NA","","NA","NA","NA","NA","NA","NA","NA","","","","NA","","","NA","NA","NA","NA","","NA","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","9","US $1.110,85","ebay_belgium_bicycle","2022-10-17 20:36:57","www.benl.ebay.be","Belgium","https://www.benl.ebay.be/itm/125493313382?hash=item1d37fbff66:g:JhUAAOSwXkJjETfV&amdata=enc%3AAQAHAAAA4J8oQ8IsizdH9OU9bUWiINrWLPkdo1blYP%2BYX2d9pAwGmkK3HkeW%2F7sVnYhkRD5aLT1%2FvtITW0C0pbURlRFj14jBpnaxidUnYBsrFNTV9GicB0ZNpGz4itahNNDoTjflc9PfcEXg8pHFZecozyJRmVmi17crdiZM6G5OkZniF8ifQX%2FmCqo1n30TEQa8Zcz%2F601s1AbzbZSGYCJ70qk5K%2BYUUxDDQWzfoLPgmQxn4QnijtvI6sAv5PPXmmwlwP%2FQZBaBb3KdhnNLt8ytHCMmocl9mupXTO4L4JzXNSkypCjv%7Ctkp%3ABk9SR4CRz_r8YA",""," Giant Tcr Advanced Pro Ml Size Frameset","","Fietsen"
"","4","Road Bike","Caliper Brake","Giant","","","Multicolor","Tweedehands: Een object dat eerder al gebruikt werd. Het object kan tekens van slijtage vertonen maar werkt nog naar behoren. Dit object kan een showroommodel zijn of een object dat na een tijdje werd teruggebracht naar de verkoper. Bekijk de aanbieding van de verkoper voor de volledige details en een beschrijving van de gebreken. ","","","","NA","","NA","S Size","","NA","","NA","8.9kg","NA","Aluminum","CONTEND SL1 2018 Model","2018","NA","","","","NA","","","NA","Clincher Tires","Does not apply","No","","NA","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","10","US $3.308,00","ebay_belgium_bicycle","2022-10-17 20:36:57","www.benl.ebay.be","Belgium","https://www.benl.ebay.be/itm/125548486929?hash=item1d3b45e111:g:VrEAAOSwh-VjPfTD&amdata=enc%3AAQAHAAAA4NPGIpPtt9x3tOiX7l4FHVZg5zqCaa6aJKARH%2F61j1h4mDF7psqryZ7EtLeG2U0KEYZ0kTo12VSu0EwDYjV5VJz3Z3RYwvjDT7Hpj0kqVyF%2Fb6cJ0jR79V%2B9tVmchSH%2Bp39303PSjjVavro7sJVexvbTbseNhTjvVshItYi93%2FQUx58ROxTuVanrx6M2mKWtOgiFDq%2BfREVBSv1Rxhh39EPRhXPwlawgz%2B%2BUrrgUjleRjyIS21t6SIsiy5qgeGUh1IpWRhmlbDRTggQ1LzrWh8Abwh1XvfPVi0oswgBIt5EZ%7Ctkp%3ABk9SR_aQz_r8YA",""," GIANT Contend SL1 2018 S Size Shimano 105 5800 MIX 11S Aluminum Road Bike","","Fietsen"
