"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tire_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","","","Giant","","","","Occasion","","","","","","","","","","","","","","Aluminium","","","","","","","","","","Vollfederung","","","Nein","","","Sports et vacances>Articles de cyclisme et vélo>Vélos","EUR","622154","AEID-5183","1","1\xa0799,00 EUR","ebay_france_bike","2022-10-17 19:28:31","www.ebay.fr","France","https://www.ebay.fr/itm/385170955093?hash=item59adfa5b55:g:5LMAAOSwa0ljNDjC&amdata=enc%3AAQAHAAAA4KRBwmb91daPMVM3rOAxVT7rq1pRnoasOnjFK5gON7XlTLh%2BvOtzF8EgFtXumOljPoMkX5D6qJnjMe8j3vxWbohtp7LBCiYvvhH0BAaz3OH%2FjyG%2FD0Y%2BPelwVkLIRhtEw6k1yijHH7whzBFzmj9SZeRuz7cwN3BXY0IF4JSX%2Fa8FK3bgpfIe8C32PgDTYhjqdwOe2KeT5tMKQCgRmvw3myM4tUQuAbKQ%2B5UR7wm%2FhUTsyZwOcqo8wi2VVvKNJ2aeYbnluDoYg5TdppBrwPYSK5jChe8qMf8T5BN9zm14aR5h%7Ctkp%3ABk9SR8qI2vb8YA",""," GIANT Explore 28 pouces vélo électrique  ️ vélo électrique e-Pedelec  ️ garantie 12 mois","","Vélos"
"","","","","Giant","","","","Occasion","","","","","","","","","","Homme","","","","","","","","","","","","","","","","","","","","Sports et vacances>Articles de cyclisme et vélo>Vélos","EUR","622154","AEID-5183","2","1\xa0599,00 EUR","ebay_france_bike","2022-10-17 19:28:32","www.ebay.fr","France","https://www.ebay.fr/itm/403873008604?hash=item5e08b50bdc:g:2kEAAOSwtuxjGJ4Q&amdata=enc%3AAQAHAAAA4D7Qazq%2Bs6%2BkL6vdQXh2OmujK8cYEqwFzbmrI952CEob7gwq%2Faef3YsbVMlBxKNWJrhMJMBrsRKpszVRfDGUSaBCyVCaqy6IXowpZS008NW8prGzh3PxWgH9dQLAo0fpK1ybGWMfxA%2FH4EJFeUKa3bZYswRilKvDnpVzk2xdJxvcX8WUkdf7JI%2FFXbPcr6l8eNDdo9qXd1eDbRkhNMlYEWgQfd0oa4dEaOdpA5RL0lIOl6fih3Yl7DUwPXePdhUwxGJYzG3tVOlekPxBV6liC9Nst8cYbzO5tGX7t9gLeBkP%7Ctkp%3ABk9SR8KI2vb8YA",""," Vélo Giant DEFY ADVANCED 3 - 2020 vélo de cycliste DEFY ADVANCED 3","","Vélos"
"","","","","Giant","","","","Occasion: Objet ayant été utilisé. Objet présentant quelques marques d'usure superficielle, entièrement opérationnel et fonctionnant correctement. Il peut s'agir d'un modèle de démonstration ou d'un objet retourné en magasin après une courte période d'utilisation. Consulter la description du vendeur pour avoir plus de détails sur les éventuelles imperfections. ","","","","","","","","","","Homme","","","","","","","11","","","","","","","","","","","","","Sports et vacances>Articles de cyclisme et vélo>Vélos","EUR","622154","AEID-5183","3","1\xa0500,00 EUR","ebay_france_bike","2022-10-17 19:28:32","www.ebay.fr","France","https://www.ebay.fr/itm/313962247738?hash=item49199bb63a:g:N78AAOSwNm5iXYR7&amdata=enc%3AAQAHAAAAoK%2BIazpJHki2FsZjMaoHW7VsKYq35OW6seeJiRFPu%2BE8IA4lss2kcXhsuGd4rRwMmeln0bIHOGVMw88xICDmhTKpaczhJqGyko7KfxoiCuRDZAGPXUSgL5x53JOc8CNGWlbNbPb4Iw1zJxNnbCtkYsoFiJgDwVihnI%2B%2BN3m5Zi7cWox8nPEqcLVv4DafWTbrGGDc6Hvx7mYuLe8tN2K7yoU%3D%7Ctkp%3ABk9SR8KI2vb8YA",""," vtt homme tout suspendu en carbone Giant","","Vélos"
"","","Vélo de route, Course","","VELO","","","","Occasion: Objet ayant été utilisé. Objet présentant quelques marques d'usure superficielle, entièrement opérationnel et fonctionnant correctement. Il peut s'agir d'un modèle de démonstration ou d'un objet retourné en magasin après une courte période d'utilisation. Consulter la description du vendeur pour avoir plus de détails sur les éventuelles imperfections. ","","","","","","","57cm (17""-L)","","","Homme","","","","","Cadex CFR2","","8","","","","","","","","","","","","","Sports et vacances>Articles de cyclisme et vélo>Vélos","EUR","622154","AEID-5183","4","350,00 EUR","ebay_france_bike","2022-10-17 19:28:32","www.ebay.fr","France","https://www.ebay.fr/itm/374277259743?hash=item5724a9c1df:g:wZcAAOSwexpjMwCY&amdata=enc%3AAQAHAAAAoOt7b1vzF4Rw9dka%2FClVHdMVj13mvqc9mMdoa4shNNyqYxPjo3e1%2FnTvQm4YwYsFGBIJozPykzRmx8Y%2FeVhR9ImTU1FMaRz7u23ayAlX63bHo2QLBzU6jTVmzsQNpi5LiLfEnhUUwm8IY2lZD22XAdF4qeOJ9mzmo7TiksQ1C%2FJCBrzCxSz54F8%2FHPE4DPI6rrCtsFvCk2R7yU8KQsIAre8%3D%7Ctkp%3ABk9SR8KI2vb8YA",""," Vélo de route Giant Cadex CFR2","","Vélos"
"","","","","VELO","","","","Occasion: Objet ayant été utilisé. Objet présentant quelques marques d'usure superficielle, entièrement opérationnel et fonctionnant correctement. Il peut s'agir d'un modèle de démonstration ou d'un objet retourné en magasin après une courte période d'utilisation. Consulter la description du vendeur pour avoir plus de détails sur les éventuelles imperfections. ","","","","","","","","","","Homme","","","","","","","","","","","","","","","","","","","","Sports et vacances>Articles de cyclisme et vélo>Vélos","EUR","622154","AEID-5183","5","90,00 EUR","ebay_france_bike","2022-10-17 19:28:32","www.ebay.fr","France","https://www.ebay.fr/itm/284997986217?hash=item425b3427a9:g:uLIAAOSwjZpi~8fT&amdata=enc%3AAQAHAAAAoJox6F9jMFiIqeuS%2BR6zUbZBGt%2BdhgNXxEHETF7ZvjeXEBIhGx%2Fw771swIei1tlpxMFit8bw7Ei1VuXg3IVcaRMNm1pr7D6NYrftUS0FEzwd42afvS3hzTh23rgZcBfX%2BoRf0%2BsEPxKwyDTrYwjhvcuI%2FpSbz4ryMUNTN9dlltZa2vd6hwM5E4c4tu5RfBs5kDqOcP%2BzdHLUCHm9oWMSBkY%3D%7Ctkp%3ABk9SR8KI2vb8YA","50,00 EUR"," VTT GIANT","0","Vélos"
"","","","","Giant","","","","Occasion","","","","","","","","","","homme","","","","","","","21","","","","","","","","","","","","","Sports et vacances>Articles de cyclisme et vélo>Vélos","EUR","622154","AEID-5183","6","1\xa0050,00 EUR","ebay_france_bike","2022-10-17 19:28:32","www.ebay.fr","France","https://www.ebay.fr/itm/354200310381?hash=item5277fbd26d:g:7DUAAOSwT1di6SGU&amdata=enc%3AAQAHAAAAoLMgI%2FqiXpDPhayzLmVALd2KqNSFT4%2FrHfXorO%2FB%2FY62NAryglEZtVUoLgsYfhe4uymvWK5X7YORPHg6ubhhNH7nxnMpD8vxyFeqsxuzwZtUeve%2F0uECj3ACdkmSOE2kr041Kgto7RzX1S61tR%2FKAgv9cwXeg9kVjjKgpTNRekj53J%2BTZw6BlSnB9uXQLGY%2FFXzlQPVrx3yMACnl7fHoBRk%3D%7Ctkp%3ABk9SR8KI2vb8YA",""," Vélo de gravel / randonneuse Giant","","Vélos"
"","","Vélo de route, Course","Étrier - poignée latérale","Giant","","","","Occasion","","","","","","","","","","Unisexe","","","","","Hollywood","","21","","","","","","","","","","","","","Sports et vacances>Articles de cyclisme et vélo>Vélos","EUR","622154","AEID-5183","7","","ebay_france_bike","2022-10-17 19:28:32","www.ebay.fr","France","https://www.ebay.fr/itm/265937925404?hash=item3deb22b51c:g:aR0AAOSwesNjSwd9&amdata=enc%3AAQAHAAAAoNzpzSjmLPhH6bYvyJYrnxymEpCTkG2TN%2BQ6gME53yuYTqePH%2BfPOyTsh4v%2B0kOe2nccxfVhPIpdwvX3ltidmgOMlp%2FmCwgg5f%2FM8k0HRJMSNnQP3HgRWdjuhfavy1mN5JAYse4%2FMubeQJfAwiQb1LISL5IoB04WX6ESWtQ7lgGE2PHbD%2BtR4alEqkdGb3vZZMGxlD%2Fqfu7fqdxCZepEuBI%3D%7Ctkp%3ABk9SR8KI2vb8YA","57,00 EUR"," VÉLO VTT MOUTAIN BIKE Vintage Marque GIANT Modèle Hollywood 21 Vitesses SHIMANO","0","Vélos"
"","","","","Giant cadex","","","","Occasion: Objet ayant été utilisé. Objet présentant quelques marques d'usure superficielle, entièrement opérationnel et fonctionnant correctement. Il peut s'agir d'un modèle de démonstration ou d'un objet retourné en magasin après une courte période d'utilisation. Consulter la description du vendeur pour avoir plus de détails sur les éventuelles imperfections. ","","","","","","","","","","","Rennlenker","","","Carbon","","","","","","","","","","","Triathlonreifen","","Ja","","","Sports et vacances>Articles de cyclisme et vélo>Vélos","EUR","622154","AEID-5183","8","349,00 EUR","ebay_france_bike","2022-10-17 19:28:33","www.ebay.fr","France","https://www.ebay.fr/itm/285001591205?hash=item425b6b29a5:g:xTEAAOSwkDVjSWlm&amdata=enc%3AAQAHAAAA4HCosjMGo9FJcRyW8lSRqwP0kQoKjtl58135eOJKyKtcQfX4NySUxZTcP%2Bi647D6zUT2ytrRegWvA%2FQBMaBwsgEmG7oQAqP1eQfBaouwxscmop08xXIS%2FccoSal417M0%2B5uGOzU59IIJeimDyAPPcTP1%2Fi663CuWXzUYUq7nS4yV9VXZ0l1RGfjOuiRteGQOORT%2FAr2fMkE%2FFgQBIxAW%2FDmih1gD4XZeJV65avAGIWAiYp4J0lcblSP61svc2Unip45lWlClX506agWMXpAHVDB3JqAL4SU42VMeszKJjwzy%7Ctkp%3ABk9SR8aI2vb8YA",""," Giant cadex CFR1, pièce de collection, un des premiers carbone, vélos de course, cadre, vélo de course","","Vélos"
"","","Mountain Bike","Disc Brake - Mechanical","Giant","","","Black","Occasion: Objet ayant été utilisé. Objet présentant quelques marques d'usure superficielle, entièrement opérationnel et fonctionnant correctement. Il peut s'agir d'un modèle de démonstration ou d'un objet retourné en magasin après une courte période d'utilisation. Consulter la description du vendeur pour avoir plus de détails sur les éventuelles imperfections. ","","","","","","","19 in","","","","","","","","","","21 Speed","","","","","","","Full Suspension (Front & Rear)","","","Yes","","26 in","Sports et vacances>Articles de cyclisme et vélo>Vélos","EUR","622154","AEID-5183","9","700,00 USD","ebay_france_bike","2022-10-17 19:28:33","www.ebay.fr","France","https://www.ebay.fr/itm/265935904094?hash=item3deb03dd5e:g:4sUAAOSwCP9jSXdJ&amdata=enc%3AAQAHAAAAoBzwO2Dn%2B7%2BceDk5ofVdBvQ4z9p7HFi9rJ4J36XFITkKoKEfnPAMHrJxEzuluxzEtP1e9IwYQanFUQgdMtEQF5UWzkQ66avSiV85Ismmh1235epT5P4lmk7gLilZNPAPicW8624Litn5w2VFR1NY2%2FD1Kpl7gSRjRyrMKdFWzQnoKPcqaF8p5BdhLSAVIQ7MyvHBld6yF1AHYolLutPvksM%3D%7Ctkp%3ABk9SR8aI2vb8YA",""," 26"" jante taille 19 cadre taille vélo avec suspension Marzoicchi","","Vélos"
"","","","","VELO","","","","Occasion: Objet ayant été utilisé. Objet présentant quelques marques d'usure superficielle, entièrement opérationnel et fonctionnant correctement. Il peut s'agir d'un modèle de démonstration ou d'un objet retourné en magasin après une courte période d'utilisation. Consulter la description du vendeur pour avoir plus de détails sur les éventuelles imperfections. ","","","","","","","","","","Unisexe","","","","","","","","","","","","","","","","","","","","Sports et vacances>Articles de cyclisme et vélo>Vélos","EUR","622154","AEID-5183","10","350,00 EUR","ebay_france_bike","2022-10-17 19:28:33","www.ebay.fr","France","https://www.ebay.fr/itm/204097740623?hash=item2f852c5f4f:g:RPEAAOSw0BxjKfWC&amdata=enc%3AAQAHAAAA4Ck4HTr8a0%2FQ%2FUrIGi3UuXPSNgpXE0xU5go7Vj0anbHpuDaDgrCybAwqYfwoH8qbZ9U6Cw%2BZrVleeZWZrRUSdWRViWjY%2FCFciJBEgSsxu6P3SjbRAIjDGjWkMOSoYBAmdSn%2FJ2SKx9LvwE7qLDUd0kE6U%2Bafyympr3Rzk7VPKzLtuc7EuwIXfo2iQ777tWhjr8BLQh2S%2FhF4utrpkqBs%2B%2FON%2Bf%2BEazRM8tBlfpkn3KJ7VQITtvTpfECAQoVQwkIyYqvQMn1B%2FVNLi9u40dhK4HINfjq0lfJnu20dSf6ikpEP%7Ctkp%3ABk9SR8KI2vb8YA",""," Velo VTT GIANT REVEL aluminium mesure 35 cm 17.7 pouces","","Vélos"
