"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tire_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","","","Giant","","","","Nuovo: Oggetto nuovo, non usato, non aperto, non danneggiato, nella confezione originale (ove la confezione sia prevista). La confezione deve essere la stessa che si può trovare in negozio, a meno che l'oggetto non sia stato confezionato dal produttore in una confezione anonima, come una busta di plastica o una scatola senza stampa. Per ulteriori dettagli vedi l'inserzione. ","","Men","","","","","","","","","","","","","XTC SLR 29 1 29"" 12 Fach 2022 Herren","2022","","","","","","","","","","Nicht zutreffend","","","","Sport e viaggi>Articoli per ciclismo>Biciclette","EUR","622154","AEID-5183","1","EUR 1.747,50","ebay_italy_bicycle","2022-10-17 17:43:22","www.ebay.it","Italy","https://www.ebay.it/itm/334577461439?hash=item4de65ee8bf:g:EswAAOSwtGljNuJ7&amdata=enc%3AAQAHAAAAoBri%2FvJ7NuMt2n2%2Fx0AvCx90wpb7HYkroU2l5RhPmhJ5ORV4X9mKs7N5JJNc3COkQF45d9AR2RFfdmT7N3L3B8tOB2xcq%2BLWYGSe9DGvV00FR91g5RnvpK3RBjno0dJ0apwfXGW%2BmnL%2Baqk2hH6aViZrP1wfNQmYAfsD5zNTWmCqyjO4B1pdFGIyhcL6QNR62Yd9x%2FhbwaIfFkNRUTpd65A%3D%7Ctkp%3ABk9SR8Dw1_D8YA",""," Mountain bike/alluminio M metallo nero gigante","","Biciclette"
"","","Mountain bike","","Giant","","","","Usato: Oggetto che è stato usato. Un oggetto con alcuni segni di deterioramento dovuti all'uso ma in buono stato di funzionamento. Questo oggetto potrebbe essere stato usato come modello nel negozio o acquistato e poi restituito al venditore. Vedi l'inserzione del venditore per maggiori dettagli e la descrizione di eventuali imperfezioni. ","","","","","","","","","","Uomo","","","","","","","21","","","","","","","","","","","","","Sport e viaggi>Articoli per ciclismo>Biciclette","EUR","622154","AEID-5183","2","","ebay_italy_bicycle","2022-10-17 17:43:23","www.ebay.it","Italy","https://www.ebay.it/itm/314188416146?hash=item492716c492:g:j80AAOSwlV9jQGW7&amdata=enc%3AAQAHAAAAoMw9WNA4qdQ8JDRKT1Oylelh%2Flbl80%2BRAjeDJUj3E%2Fyi0mqrZjdLaJS%2Fz8nmAY6JXIMpPCpQt7tgYxSaz8UcBo0%2FYuAim8dRkeSBFt1Xbb7AYK5f1NDpHDVZv7MT919onSl0Accj507iY%2BZzcekoahCxr1Ir0%2FvvmVzJNh%2F8NKg4PeJR9hnBF9c1yN5w7UB5GJFgOzzNRiPBWAl8qlATsro%3D%7Ctkp%3ABk9SR8Dw1_D8YA","EUR 290,00"," Bicicletta Mountain bike GIANT TERRAGO ottime condizioni bellissimo colore","0","Biciclette"
"","","Mountain bike","Disco","Giant","","","","Usato: Oggetto che è stato usato. Un oggetto con alcuni segni di deterioramento dovuti all'uso ma in buono stato di funzionamento. Questo oggetto potrebbe essere stato usato come modello nel negozio o acquistato e poi restituito al venditore. Vedi l'inserzione del venditore per maggiori dettagli e la descrizione di eventuali imperfezioni. ","","","","","","","54 cm (16""-M)","","","","","","","Alluminio","","","","","","","","","","","","","","","","Sport e viaggi>Articoli per ciclismo>Biciclette","EUR","622154","AEID-5183","3","EUR 300,00","ebay_italy_bicycle","2022-10-17 17:43:23","www.ebay.it","Italy","https://www.ebay.it/itm/225206785428?hash=item346f5ed594:g:V6YAAOSwFWZjSqU5&amdata=enc%3AAQAHAAAAoHe22q7FAN8fWoN3zkH7RFkR6C7Eq3dtvGO5x%2FSwfhG9TTYCDplN4TwaLDqVJqzkcxXFA18DqqUcp7pH6WMb8hyQEYuc7ZDs9mEXQI9nmCK3S53NFLQy%2FyzGRaeRvug9CTFvjxDCJc0plkcfGuEjIELUM8%2Foxi8H4pVV7Z7fDx3kHiK5l3k1YLBnpJRkZsEZBXXOj6nELJRbEwipDscU1Zg%3D%7Ctkp%3ABk9SR8Dw1_D8YA",""," Giant Talon 2020","","Biciclette"
"","1","Mountain Bike","Disc Brake - Hydraulic","Giant","","","Blue","Usato: Oggetto che è stato usato. Un oggetto con alcuni segni di deterioramento dovuti all'uso ma in buono stato di funzionamento. Questo oggetto potrebbe essere stato usato come modello nel negozio o acquistato e poi restituito al venditore. Vedi l'inserzione del venditore per maggiori dettagli e la descrizione di eventuali imperfezioni. ","","Unisex Adults","","","","","Small","","","","","","","","","2021","","","","","","","","Full Suspension (Front & Rear)","","","No","","29 in","Sport e viaggi>Articoli per ciclismo>Biciclette","EUR","622154","AEID-5183","4","GBP 1.000,00","ebay_italy_bicycle","2022-10-17 17:43:23","www.ebay.it","Italy","https://www.ebay.it/itm/354308912312?hash=item527e74f4b8:g:zFYAAOSwU6FjRY0V&amdata=enc%3AAQAHAAAA4LArjgi5h9GYtJvM58zGedGVm8ZODzpbu03ULKN2nFwz84%2FEfUeaWDUhrfNFMpDXSCc047YGifb2YEIGBlfrgJHZiIYVELZSTLOjYb4cr44xmtB6joHNCPBSy1oQHgk8hGphf1qlQ%2FGZJKqHr%2BRccD9q6P2Tlr57Xd8puITYU1hL8xptYrF7kd6TDbu6DlTNxnSUIPmdVqL1D7YtfAHvo72krlNWuWNpz%2BfgY%2B13sQ9vRxgMPSTau0ZksSe4M2EsHQxpxBVykqStU%2BDeBnhdWS9aUPEgbnbKz8OiZaTFtmG6%7Ctkp%3ABk9SR8Lw1_D8YA",""," Giant Stance 29 2020 Mountain Bike con gli aggiornamenti (contagocce, Tubeless)","","Biciclette"
"","","Da corsa","Bacchetta","Giant","","","Nero","Usato: Oggetto che è stato usato. Un oggetto con alcuni segni di deterioramento dovuti all'uso ma in buono stato di funzionamento. Questo oggetto potrebbe essere stato usato come modello nel negozio o acquistato e poi restituito al venditore. Vedi l'inserzione del venditore per maggiori dettagli e la descrizione di eventuali imperfezioni. ","","","","","","","55 cm (16""-M)","","","Uomo","","","","Fibra di carbonio","","","","","","","","","","","","","","","","Sport e viaggi>Articoli per ciclismo>Biciclette","EUR","622154","AEID-5183","5","","ebay_italy_bicycle","2022-10-17 17:43:23","www.ebay.it","Italy","https://www.ebay.it/itm/234732029868?hash=item36a71e87ac:g:1koAAOSwKsVjOemJ&amdata=enc%3AAQAHAAAAoFes9kovLthpXlxFn%2FCXg%2Ff64jmCZOWjxTRP3wfoq1sPUyiFTYeSIPAS7qfAZxMZz7ajQBwsu9Md4O2%2B7UMvOUvj6NZqZ3nPYZecpwyVJ8qoqsRNc4836LjTY5ndg4A8dokG1jGAMWiiHIcvhFx6RbJBacn5xfddU9rqgcraHbiHwYdLB9mcQEmlRnkN7YeVlFpU4Sk1d%2FR2819P%2FLI5KiI%3D%7Ctkp%3ABk9SR8Dw1_D8YA","EUR 3.100,00"," Giant Tcr Advanced Sl taglia m","0","Biciclette"
"","","","","Cinelli","","","","Nuovo: Oggetto nuovo, non usato, non aperto, non danneggiato, nella confezione originale (ove la confezione sia prevista). La confezione deve essere la stessa che si può trovare in negozio, a meno che l'oggetto non sia stato confezionato dal produttore in una confezione anonima, come una busta di plastica o una scatola senza stampa. Per ulteriori dettagli vedi l'inserzione. ","","","","","","","","","","","","","Non Applicabile","","","","","","","","","","","","","","","","","Sport e viaggi>Articoli per ciclismo>Biciclette","EUR","622154","AEID-5183","6","EUR 45,00","ebay_italy_bicycle","2022-10-17 17:43:23","www.ebay.it","Italy","https://www.ebay.it/itm/265931098191?hash=item3deaba884f:g:ibQAAOSwOx9jRcJX&amdata=enc%3AAQAHAAAAoC25LigcUYqli0YLi1Lb%2FzNLDqCNI4IooA5mg7ky%2BnsrsfijACkiKMGUdED%2FeehmIbTiLkZZ5UVI%2FUOWOX0tAUNvPXeB2dNYgCevgFj9%2F8RnQ2ltHvGVPHIuxXk5YusZjVpzJ1JU8P9G%2F6D%2BEFrwcumeIZGmbBpwes%2BlM0qiy9AltqaQ5oYwuEztoTqFGq%2FAlYnAc9cUuuUw%2FXVA1ZTJgso%3D%7Ctkp%3ABk9SR8Dw1_D8YA",""," Cinturini Cinelli Kinks Straps Mike Giant","","Biciclette"
"","","Mountain bike","","Giant","","","Blu","Usato: Oggetto che è stato usato. Un oggetto con alcuni segni di deterioramento dovuti all'uso ma in buono stato di funzionamento. Questo oggetto potrebbe essere stato usato come modello nel negozio o acquistato e poi restituito al venditore. Vedi l'inserzione del venditore per maggiori dettagli e la descrizione di eventuali imperfezioni. ","","","","","","","","","","Uomo","","","","Acciaio","","","7","","","","","","","","","","","","","Sport e viaggi>Articoli per ciclismo>Biciclette","EUR","622154","AEID-5183","7","EUR 350,00","ebay_italy_bicycle","2022-10-17 17:43:23","www.ebay.it","Italy","https://www.ebay.it/itm/403924802470?hash=item5e0bcb5ba6:g:bvsAAOSwezljPsDC&amdata=enc%3AAQAHAAAAoIZa0S%2B8nJjl12yWotA4yR7iv5zUvSuYV86QfsQZfFpbXIicagH5mh95M%2BDjN5viR0YmCC9s4bODFSMbKhJQhhJaWVmVCbfXgBsHgyFKzuJxgMcTlxhQDM8zOh5Lx8UmFjnZsKvvXq%2FbBW46UYu1acM7NMOCE10X%2FAu7sUMkmafVqCI%2BEFt2Ej5y7szP73OumV1GunaU8cXV%2FpRHDF4wlL8%3D%7Ctkp%3ABk9SR8Dw1_D8YA",""," GIANT ESCAPER ","","Biciclette"
"","","","","Liv","","","","Usato: Oggetto che è stato usato. Un oggetto con alcuni segni di deterioramento dovuti all'uso ma in buono stato di funzionamento. Questo oggetto potrebbe essere stato usato come modello nel negozio o acquistato e poi restituito al venditore. Vedi l'inserzione del venditore per maggiori dettagli e la descrizione di eventuali imperfezioni. ","","","","","","","","","","","","","","carbon","Langma","","","","","","","","","","","","Nein","","","Sport e viaggi>Articoli per ciclismo>Biciclette","EUR","622154","AEID-5183","8","","ebay_italy_bicycle","2022-10-17 17:43:24","www.ebay.it","Italy","https://www.ebay.it/itm/334594271603?hash=item4de75f6973:g:JKsAAOSwsR1jQZ1M&amdata=enc%3AAQAHAAAAoJoM6qVe3sNWqPjDXeaPgGcIk7Qga8VpDvVaYPw9yz%2FGdBjnyzZwLx8PjhM9cSi8UmeuIwq5SO%2BhH3H2kUEZiMPFOAd9Z%2BTv7NgSFsj00giNGDNvE%2FN4EgsVYAF2WD5iLZFtUdj3cJ8RCX3bTdegqBn1Z126eOjo9F5zoAZMK%2BtePwBX5am8S4t4zRyp07MyQm18RwDMDpnFhsHv03PlEaE%3D%7Ctkp%3ABk9SR8Dw1_D8YA","EUR 1.200,00"," Liv Langma Advanced Pro rosso carbonio scuro taglia S/M (gigante, non specializzata)","0","Biciclette"
"","","Mountain bike","Disco","Giant","","","Desert Dage","Nuovo: Oggetto nuovo, non usato, non aperto, non danneggiato, nella confezione originale (ove la confezione sia prevista). La confezione deve essere la stessa che si può trovare in negozio, a meno che l'oggetto non sia stato confezionato dal produttore in una confezione anonima, come una busta di plastica o una scatola senza stampa. Per ulteriori dettagli vedi l'inserzione. ","","","","","","","S","","","Unisex adulto","","","Fathom","Alluminio","","","12","","","","","","","","","","","","","Sport e viaggi>Articoli per ciclismo>Biciclette","EUR","622154","AEID-5183","9","EUR 1.316,00","ebay_italy_bicycle","2022-10-17 17:43:24","www.ebay.it","Italy","https://www.ebay.it/itm/144764893543?hash=item21b4a8f967:g:MSgAAOSwLJFi8fmG&amdata=enc%3AAQAHAAAAoEmiJIqeVXc%2FI0bcrDfl7MYDQKOlLmb0BnLZ0z08MLTekoTVomuo%2B0Np6rokeyy2%2BQiLKWLe7dMjOkl0fHJ8FnOKBCX9%2BWE8mmkoxe42eUjZXw%2BSbozDgofPiIYPvB08Etnbi8aCqwEq7AHxQSZfDXBXp%2FnIxRWsvliTcNTWXoExuFwZs7K8WqcgTKRzgvlQ1EnnAnM234iA0D48Iw8R1do%3D%7Ctkp%3ABk9SR8Dw1_D8YA",""," MTB Giant Fathom 29 1 Tg S (2021)","","Biciclette"
"","","Road Bike","","Giant","","","White","Usato: Oggetto che è stato usato. Un oggetto con alcuni segni di deterioramento dovuti all'uso ma in buono stato di funzionamento. Questo oggetto potrebbe essere stato usato come modello nel negozio o acquistato e poi restituito al venditore. Vedi l'inserzione del venditore per maggiori dettagli e la descrizione di eventuali imperfezioni. ","","","","","","","Large","","","","","","","","","","","","","","","","","","","","No","","","Sport e viaggi>Articoli per ciclismo>Biciclette","EUR","622154","AEID-5183","10","","ebay_italy_bicycle","2022-10-17 17:43:24","www.ebay.it","Italy","https://www.ebay.it/itm/144769883023?hash=item21b4f51b8f:g:HaQAAOSwVHRjTB1h&amdata=enc%3AAQAHAAAAoGsiMQjq8EG4brKVIDvP8mEINvrQhX496OMUVAPInnMOFwA1riXy1gkL9jo1zZqrui36pscHKfcgB2iKTFbHWHylu7MlFAllW7QOYgcJh2znlJ%2FTStp6ktiIaYfNsJFZQq5pkXDultHQ0kl3t%2FeXtVQiM0BoWa%2FdbTBeF85arVa5WuSbiQZmy58VNmhvVUt%2FfcC0YrQE1bMsLjUHL63f8jU%3D%7Ctkp%3ABk9SR77w1_D8YA","GBP 245,00"," Giant Defy 2 road bike","13","Biciclette"
