"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tire_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","NA","NA","GIANT","","","NA","Nieuw: Een gloednieuw, ongebruikt, ongeopend, onbeschadigd object in de oorspronkelijke verpakking (indien verpakking van toepassing is). De verpakking moet hetzelfde zijn als in de detailhandel, tenzij het object door de fabrikant is verpakt in een verpakking die niet voor detailhandel is bestemd, zoals een onbedrukte doos of een plastic zak. Zie de aanbieding van de verkoper voor volledige details. ","","NA","","","","NA","NA","","NA","","NA","NA","NA","NA","NA","NA","NA","","","","NA","","","NA","NA","NA","NA","","NA","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","1","US $671,20","ebay_netherland_bicycle","2022-10-17 17:44:08","www.ebay.nl","netherland","https://www.ebay.nl/itm/125493313374?hash=item1d37fbff5e:g:vicAAOSwzxdjETfU&amdata=enc%3AAQAHAAAA4E1z2pv2UuCbGP0uw0NGM4wq0mwTGiPjMIUGZdc7B3GJoriYPW3zzP9Pgp8znAh5WYuab%2Bb8ny1eu1abdBdegyZFOcLg6F4ERWWh1LiTpXTTo8bmVmmwZvrZqfUqIWjlJztwHO43abEwqpv58gvmGyxNwZP%2Fh6iAm74xbEHRHe%2BV%2FMmwOKp%2BWDfYvgX1MaLxJmccGejX5vocZ009965FqNPGkcjTnGyWL2A1Qf5h59EHk8sRs0ebVjETeb4mdRCR3z%2BAFkVGuWpyukXJFMmQ4%2FK5AM4hS0QtZ8wYkZzMLHqK%7Ctkp%3ABk9SR9DB3fD8YA",""," Giant Tcr Advanced Sl2 Kom 2018 Front Fork","","Fietsen"
"","","","","","","","","Tweedehands: Een object dat al eerder is gebruikt. Het object kan tekenen van cosmetische slijtage vertonen, maar werkt naar behoren. Dit object kan een showroommodel zijn of een object dat aan de verkoper geretourneerd is nadat het gebruikt is. Zie de aanbieding van de verkoper voor volledige details en een beschrijving van onvolmaaktheden. ","","","","","","","","","","","","","","carbon","","","","","","","","","","","","","Nein","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","2","","ebay_netherland_bicycle","2022-10-17 17:44:08","www.ebay.nl","netherland","https://www.ebay.nl/itm/334594271603?hash=item4de75f6973:g:JKsAAOSwsR1jQZ1M&amdata=enc%3AAQAHAAAAoJoM6qVe3sNWqPjDXeaPgGcIk7Qga8VpDvVaYPw9yz%2FGMCKnTEQV8MJ%2FAL9ZGIUdTLZaoNJTF7fsepOB6otMLJBkhTyzHhoHZIO6rI826XBQqAeXW0i6Z0H695hiQ3ohiiCDRY1aZEEfGTYjKtKx6X49NY78L1S1bxvDOyHWVCaEbqgDDsOFfV97iC5t3WN51xmhjwyiIS2egpL30ElzpZM%3D%7Ctkp%3ABk9SR8rB3fD8YA","EUR 1.200,00"," Liv Langma Advanced Pro carbon dark red S/M size (Giant, not Specialized)","0","Fietsen"
"","","Mountain","Disc - Hydraulic","Giant","","","Red Clay","Tweedehands: Een object dat al eerder is gebruikt. Het object kan tekenen van cosmetische slijtage vertonen, maar werkt naar behoren. Dit object kan een showroommodel zijn of een object dat aan de verkoper geretourneerd is nadat het gebruikt is. Zie de aanbieding van de verkoper voor volledige details en een beschrijving van onvolmaaktheden. ","","","Mechanical","","SR Suntour XCT30 HLO 27.5 or 29, 80mm or 100mm, coil spring,...","","M","","","Mens","Riser Bar","","","Aluminum","Talon 2 27.5","","8 Speed","","Giant Sport Custom","","","","","Front","Maxxis Ardent 27.5 x 2.25","","","Giant GX03V 27.5 or 29 wheelset, alloy, double wall, 21mm inner","27.5""","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","3","US $550,00","ebay_netherland_bicycle","2022-10-17 17:44:09","www.ebay.nl","netherland","https://www.ebay.nl/itm/175441065021?hash=item28d91a343d:g:saYAAOSwuipjQISB&amdata=enc%3AAQAHAAAAoHP0OOF2Zs%2FTSQ2hCAzBdofTngxcEYMHS7wA54M5YYxprm5IhSEhdu90QaUanb6DKvb7YMCZx43oeSfCSGhmXUmWX1UUSq4P1klECaPvuomH%2BbkmyLJqZUtW%2FNTS6APvx4j4qIW3gtxojdEqnmoTo7FRQaSF8WXKzUSGLfUnkLxxUUcLBaCEJsQTIhX7%2F%2FhOQICKN8DKtxjfBM%2F05j4tdAk%3D%7Ctkp%3ABk9SR8rB3fD8YA",""," Giant Talon 2 27.5, Size M, Dropper Seatpost","","Fietsen"
"","35","Mountain Bike","","Giant","","","Black","Tweedehands","","Unisex Adults","","Bottle Cage","","","","","Derailleur Gears","","Flat Bar","","","Chromoly","Giant Sedona","1987","18 Speed","","","","Thumb Shifter","","","No Suspension","Clincher Tires","","Yes","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","4","US $220,00","ebay_netherland_bicycle","2022-10-17 17:44:09","www.ebay.nl","netherland","https://www.ebay.nl/itm/255778382237?hash=item3b8d94619d:g:dioAAOSwSf1jSzWY&amdata=enc%3AAQAHAAAAoA6FKw7XfyF%2BOJ7JEyr75QOz%2F%2BwAs6gtRAkEDWO0v71x9ygJNF6NEhZdl8WzBjbI%2Bb2ziLdJGbnEkGshEgCVSUIU18ATmFjj5vUB1u%2BWXrmlJHZ5MVEYSNTS9vb1i1vilM9xY%2F8NYgfr635mun6EyhU76uJm816eSTqX8PuxjENfG4wFTTP52bPzoXYPhLZRSXCmeZxW9QiSZDBQg08ig2Q%3D%7Ctkp%3ABk9SR8rB3fD8YA",""," 1987 Giant Sedona MTB Shimano Biopace Exage Mountain full groupset","","Fietsen"
"","","Road Bike","","Giant","","","White","Tweedehands: Een object dat al eerder is gebruikt. Het object kan tekenen van cosmetische slijtage vertonen, maar werkt naar behoren. Dit object kan een showroommodel zijn of een object dat aan de verkoper geretourneerd is nadat het gebruikt is. Zie de aanbieding van de verkoper voor volledige details en een beschrijving van onvolmaaktheden. ","","","","","","","Large","","","","","","","","","","","","","","","","","","","","No","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","5","","ebay_netherland_bicycle","2022-10-17 17:44:09","www.ebay.nl","netherland","https://www.ebay.nl/itm/144769883023?hash=item21b4f51b8f:g:HaQAAOSwVHRjTB1h&amdata=enc%3AAQAHAAAAoGsiMQjq8EG4brKVIDvP8mEINvrQhX496OMUVAPInnMOBC6ja1oi22QHe%2F7d3OuQlK2IN%2BTnAHo%2B4ljFO741z%2B0IL3x02DNs%2FFBoVXdq%2BY2Q3%2FFQvJdCIQ87M0eg0AIN3Y2zejdbl1YSG8Acqb%2BZYFcgNoCl7ADQfx0nD%2FsqlffPRDk2w566%2Fl5wq4G%2FgKvYDVNRWfq5Bz7NR5uDzQhhWII%3D%7Ctkp%3ABk9SR8rB3fD8YA","GBP 245,00"," giant defy 2 road bike","13","Fietsen"
"","","","","","","","","Tweedehands: Een object dat al eerder is gebruikt. Het object kan tekenen van cosmetische slijtage vertonen, maar werkt naar behoren. Dit object kan een showroommodel zijn of een object dat aan de verkoper geretourneerd is nadat het gebruikt is. Zie de aanbieding van de verkoper voor volledige details en een beschrijving van onvolmaaktheden. ","","","","","","","","","","","","","","Stahl","","","","","","","","","","","","","Nein","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","6","EUR 500,00","ebay_netherland_bicycle","2022-10-17 17:44:09","www.ebay.nl","netherland","https://www.ebay.nl/itm/125565448560?hash=item1d3c48b170:g:2IIAAOSwZRtjTEAO&amdata=enc%3AAQAHAAAAoC%2FOr8QMRpOOjmcYxlMqhkGv1JSQ4kI7LwnAHqFxod%2F0QST5cR8k29owXuPaXF%2F4oC6nyOZN4898ayaTZrvAUiQHRY92rKt8C6DIrnIg6PtyIz2XaMGdz%2Fs056kWRr5x4JN7E%2FjeaZOqrquRkz2dGK6%2BZeoLwZD4mlKbz7HFxtY4dudvWs5swnKKhO0BaG70bkS1olvqDxVWcOKWRjy%2FlhU%3D%7Ctkp%3ABk9SR8rB3fD8YA",""," GIANT PELETON LITE - Roadbike Full Campagnolo Vintage 53er Framesize","","Fietsen"
"","","Mountain Bike","","Giant","","","BLUE BLACK GREY","Tweedehands","","Unisex Adult","","","","","17","","","","","","Does Not Apply","Aluminum, Aluminum Alloy, Steel","BOULDER SE","","21 Speed","","","","","","","Front","MTB","","No","","26 in","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","7","US $275,00","ebay_netherland_bicycle","2022-10-17 17:44:09","www.ebay.nl","netherland","https://www.ebay.nl/itm/304652022446?hash=item46eeacf2ae:g:gEwAAOSwJYdjPgKX&amdata=enc%3AAQAHAAAAoP7p8yIDQpBNzkLxf36HExEl7Qes1TEG0bYPV4kcP6SpyNW1tkj9U4EQoG99mnxmAhb7AJkdm7g6kZzUI2kijEttDImRal9OvKYHrzOxUTt7UA05qkiIl9lwqTHAKhxS82C%2FL2iOTSwmpUk18%2FxoDjusczOfL0wiPxamnTRDiB9MbLH4mSo%2BiFYoiBYv03cr1jQ16I%2Bw4na3a6JgYWklO7s%3D%7Ctkp%3ABk9SR8zB3fD8YA",""," 2000s' GIANT BOULDER SE😃USA DESIGN😃MADE IN TAIWAN👀 😃17"" FRAME Mountain Bike","","Fietsen"
"","","Road Bike","","Giant","","","white/gray","Tweedehands","","Unisex Adults","","","","","s/m","","","","","","","","","","","","","","","","","","","","No","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","8","US $59,39","ebay_netherland_bicycle","2022-10-17 17:44:09","www.ebay.nl","netherland","https://www.ebay.nl/itm/284998653471?hash=item425b3e561f:g:MmMAAOSwp4VjRecJ&amdata=enc%3AAQAHAAAA4GaLHZTzn8XkJ%2Flfgv4%2Bm0xmL%2BAo%2B76f9xYZ6RiLmDqtqdPSZ2L5FMvGl2kXFBgwJE8IC%2BoK85hdn8YR2RNitnLQP%2FqvND6%2BZOXhoF3c4eiuFTvHABcsldK43Y7as2YwdB0WY4y%2BeywpgwMZTO%2FrS%2BFu%2BevEPbmFocln79CG9eYaD%2FsRHQ74ZyKOVsRZjA%2Fh3BqaplImP%2BFhd90P3zDu1nO6oXrNZAqTkr%2Bys2e7ceWY9oc1tjfbOsa2kTTkMqVFJ5vZlbhehu0iRAX4ufMrW3wmHqN%2BwEriJXlgwyXNoUOP%7Ctkp%3ABk9SR8rB3fD8YA",""," MPS Giant BICYCLE Cycling helmet white/gray sz S/M 335g","","Fietsen"
"","","Hybrid Bike","V-Brake (Direct/Linear Pull)","Giant","","","Blue","Tweedehands","","Women","","Adjustable Seat, Kickstand, Suspension Seat Post","","","16 in","","Derailleur Gears","","Riser Bar","","","Aluminum Alloy","Sedona DX","","24 Speed","","","","Grip Shifter","","","Front","Clincher Tires","","No","","26 in","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","9","","ebay_netherland_bicycle","2022-10-17 17:44:09","www.ebay.nl","netherland","https://www.ebay.nl/itm/265934897595?hash=item3deaf481bb:g:9ywAAOSwJudjP3qs&amdata=enc%3AAQAHAAAAoGq8qDeost5z%2B8RI%2BvO%2F5ecpTq9xJRwNqWCzZNSY1WQ5SgtUqAhO6ha3wnbsVNvm%2BdXUsUOanL6kOAT3W8DvJE%2BB82mQfEPDC%2F8IvUFCyltNJ8UxUEHpkB6o8hNPaLHRtNPIdJu8qC7X8xyI1SOa8uMpSrYGvMvIeFilUJPUMXmpAchx2SXCzEgFBhg78%2FJV%2FaoGcpO1F5KYXoOKtJWK6KY%3D%7Ctkp%3ABk9SR8rB3fD8YA","US $139,00"," Giant Sedona DX Hybrid Bike blue womans Comfort Road Trail Aluminum Bicycle","0","Fietsen"
"","16","Road Bike","Caliper Brake - Side Pull","Giant","","","","Tweedehands: Een object dat al eerder is gebruikt. Het object kan tekenen van cosmetische slijtage vertonen, maar werkt naar behoren. Dit object kan een showroommodel zijn of een object dat aan de verkoper geretourneerd is nadat het gebruikt is. Zie de aanbieding van de verkoper voor volledige details en een beschrijving van onvolmaaktheden. ","","","","","","","Medium","","","","Drop Bar","","","Carbon Fiber","TCR","2006","10 Speed","","","","","","","","Clincher Tires","","No","","700C","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","10","","ebay_netherland_bicycle","2022-10-17 17:44:10","www.ebay.nl","netherland","https://www.ebay.nl/itm/225205906598?hash=item346f516ca6:g:XTMAAOSwg~RjScL~&amdata=enc%3AAQAHAAAAoIbeBkVB61LrIVrfvJqytbXfluK0XvvDCnRrhvv%2Bqz%2FQqPjCTWKMFafhqbyniIcrLLFSK%2Fr0N9s5cpo%2FRPmVIKtuHQo9CJVE3upOL44ykfIo4SLjd1ZO3GcgcEBXWy%2FpRJHeVBArM6FjZK9cQeTXWq3kdvN4W5Yc9GuI5f9S77kPZsFri4qmly8HbjEHhsxDw%2F2wTBY4JcNYpjcb%2FOXRNcs%3D%7Ctkp%3ABk9SR8rB3fD8YA","US $700,00"," 2006 Giant TCR Road Bike / Carbon Fiber/ Shimano / Size MEDIUM","0","Fietsen"
