"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tire_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","1","Mountain Bike","Disc Brake - Hydraulic","Giant","","","Blue","Używany: Przedmiot, który był poprzednio używany. Przedmiot może mieć oznaki drobnego zużycia, ale ... ","","Unisex Adults","","","","","Small","","","","","","","","","2021","","","","","","","","Full Suspension (Front & Rear)","","","No","","29 in","Sport i Turystyka>Jazda na rowerze>Rowery","EUR","622154","AEID-5183","1","","ebay_poland_bike","2022-10-17 17:45:07","www.ebay.pl","Poland","https://www.ebay.pl/itm/354325426150?hash=item527f70efe6:g:Wx8AAOSwPTxjRY1U&amdata=enc%3AAQAHAAAA4IrafdUey1jRWQTusD7L3Y1UbDHdN%2BgpnKxTGxtZhGlO7EcmBWP57Zql4tnUiK5GOHEdAw50h760ZuexklULvA4wVY6CyKsptc735RiVLlJAr%2FeddxhB92Lwib5uCNaNu8RGxdheP1qynbWBCZI9Th%2FyOsUlcnIpQ9O4NFGlbQn6PYoJHOWmn2FDGEpUGxzGAC3PvTB7uSxsahmfHwCjxvUEk4QDEbF9ZT59Z3mYFnvMmCmZuUZCSKO%2BgiHYJ12ujL1RzkRPTIR1fkKMjiFiGuOviW9wH9aMuvTQuEJtEaKE%7Ctkp%3ABk9SR97L5PD8YA","GBP 700,00"," Giant Stance 29 2020 Rower górski z ulepszeniami (dropper, Tubeless)–","6","Rowery"
"","","Mountain Bicycle","","Giant","","","","Nowy: Fabrycznie nowy, nieużywany, nieotwierany i nieuszkodzony przedmiot w oryginalnym opakowaniu ... ","","Men","","","","","","","","","","","","","XTC SLR 29 1 29"" 12 Fach 2022 Herren","","","","","","","","","","","Nicht zutreffend","","","","Sport i Turystyka>Jazda na rowerze>Rowery","EUR","622154","AEID-5183","2","EUR 1 747,50","ebay_poland_bike","2022-10-17 17:45:07","www.ebay.pl","Poland","https://www.ebay.pl/itm/334577461439?hash=item4de65ee8bf:g:EswAAOSwtGljNuJ7&amdata=enc%3AAQAHAAAAoBri%2FvJ7NuMt2n2%2Fx0AvCx90wpb7HYkroU2l5RhPmhJ5CqohM%2F%2B00CUgiafKshEAsnbOoIa4kGiZfMh6z9MuE%2BlLvSVDiMchuC45i9UwPQaCzAkF21YRojV%2BySZ3p8hd%2BMYKDlzqbqVw2IO7W21tAOnovMd46FOjjzo3ku90ehIj1t%2Fb6eVm64dXbPtUtIUrwC2FEOWAhLa7vkyzFBvwDqQ%3D%7Ctkp%3ABk9SR97L5PD8YA",""," rower górski / aluminium M metaliczny czarny gigant–","","Rowery"
"","1","Mountain Bike","Disc Brake - Hydraulic","Giant","","","GREY","Nowy: Fabrycznie nowy, nieużywany, nieotwierany i nieuszkodzony przedmiot w oryginalnym opakowaniu ... ","","Unisex Adult","","","","","Large","","","","Flat Bar","","Does Not Apply","Aluminum","TALON 2 29""","2021","16","","","","","","","Front","Clincher Tires","","","","29 in","Sport i Turystyka>Jazda na rowerze>Rowery","EUR","622154","AEID-5183","3","US $478,40","ebay_poland_bike","2022-10-17 17:45:07","www.ebay.pl","Poland","https://www.ebay.pl/itm/325345504420?hash=item4bc01a6ca4:g:vv0AAOSwLpVjJI7O&amdata=enc%3AAQAHAAAAoLLVh%2FWdHJqBvdzi2PR99rhvKmKf3cetCWHgqtqXTiHOvTmK8GPfAM%2B%2BKvOmxJiTnfjSQ6CLSjsns2AIK%2FnQNe4fOPB%2FTFrn2O4Zg%2BVQ2obe9PfozUBAv2CTJwy3U1xe1tvHUQKf9ur6SG3v9lcTRQfxD7W9M3pmt5kEZyqKGqN4%2FcKpLLTgKUZMYGTqa56%2BFNiBT51EH9hzAA7fVdElZ2s%3D%7Ctkp%3ABk9SR97L5PD8YA",""," GIANT TALON 29 2 GREY L 2021 Rower - ROWERY GÓRSKIE Z HAMULCEM TARCZOWYM MTB–","","Rowery"
"","","Road Bike","","Giant","","","Black","Używany","","Unisex Adults","","","","","27 in Bottom tube to Seatpost, 20 in Top tube to Bottom","","","","","","","Carbon Fiber, Composite","giant tcr advanced sl","","","","","","","","","No Suspension","","","No","","700C","Sport i Turystyka>Jazda na rowerze>Rowery","EUR","622154","AEID-5183","4","US $749,99","ebay_poland_bike","2022-10-17 17:45:07","www.ebay.pl","Poland","https://www.ebay.pl/itm/284974206569?hash=item4259c94e69:g:VIAAAOSw0iJjKkpT&amdata=enc%3AAQAHAAAA4Ne554T6OfAXl6gFJWikV9uVGTrofQScNnWbJyBuiF%2FYpVDuypdGIH2TpHR7Tdmu%2BzB8M3bkb0sMtD4VAjNdfOlIkzVdAbRqohyeGoMp%2BT4TPScdcDg7CHlthSSEAYXNP47vkrMtotImbW8cQCMrlpPxFF4%2BE1yiJRBTK7D2zBrW37cvQNJ91HUGF10mc%2FOURZjDH4xsOiLV3%2BYq2JTAetGpNZjFTj2drKpxvKZj8OkhAtg0Zn16UHNSvBu%2BVafOAncUXDBemmHo%2FGksyAYksa7joF%2B3ky3qMSgRstJpUpTB%7Ctkp%3ABk9SR97L5PD8YA",""," GIANT TCR Advanced SL Fork & Frame z ispem–","","Rowery"
"","","Hybrid Bike","","Giant","","","","Używany: Przedmiot, który był poprzednio używany. Przedmiot może mieć oznaki drobnego zużycia, ale ... ","","","","","","","XL","","","","","","","","","","","","","","","","","","","","","","","Sport i Turystyka>Jazda na rowerze>Rowery","EUR","622154","AEID-5183","5","US $649,99","ebay_poland_bike","2022-10-17 17:45:07","www.ebay.pl","Poland","https://www.ebay.pl/itm/374281569745?hash=item5724eb85d1:g:59MAAOSwRvxjNvAB&amdata=enc%3AAQAHAAAAoBnTRtsu35TfVEknaKqBmml9ecL%2F40eH94I%2B%2BqU6tBrnrhoaogiZI2wp7QY9X%2BxfliGhXcUQh6V%2B2BOzjSAwXWRSCrEANMJIRVkCOLXc3Vzf8%2FKlYY2v4V6qahUdOxzmCUpqTPcY3Rh7z3O4ndJh%2B1%2BPh%2FTH4W7pr%2Fh5nhZrQq84sIPzQBzMjyoSuVEPSN6fw4iP1FuOgWcq7GC3Ei0bTB0%3D%7Ctkp%3ABk9SR97L5PD8YA",""," UŻYWANY Giant Escape 2 Disc XL Fitness Hybrid Bike Flat Bar 3x8 prędkości–","","Rowery"
"","17","Road","Caliper Brake - Side Pull","Giant","","","Black","Używany: Przedmiot, który był poprzednio używany. Przedmiot może mieć oznaki drobnego zużycia, ale ... ","","","","","","","XS","","","","","","Does Not Apply","Composite","Giant OCR C1","2005","","","","","","","","","","Does not apply","No","","700C","Sport i Turystyka>Jazda na rowerze>Rowery","EUR","622154","AEID-5183","6","US $479,99","ebay_poland_bike","2022-10-17 17:45:07","www.ebay.pl","Poland","https://www.ebay.pl/itm/265919253352?hash=item3dea05cb68:g:ka8AAOSwgHtjPMC5&amdata=enc%3AAQAHAAAAoP1sO8hNO2fOnwL4LC1g0%2FNhKb2xd4THJhCfqQZO7vRQNxykyws8taJOvwWTorGdUNFJxIMz57ktDf35DBQw9L2ETPUEA0m0iR9af7bGFCrVyt5UAZY4D7Ej%2BCUKscmocECUlzeYl4bYKsWzGGjvjqQh89r%2BNtWmVeAP184kBbIwF5ZhD%2B8oX2g3NPTMeJVbIDlxNlRBSPxJblC5s2HwrzQ%3D%7Ctkp%3ABk9SR9zL5PD8YA",""," Giant OCR C1 XS Carbon Rama do rowerów szosowych 700c Czarny Czerwony–","","Rowery"
"","","NA","NA","GIANT","","","NA","Używany: Przedmiot, który był poprzednio używany. Przedmiot może mieć oznaki drobnego zużycia, ale ... ","","NA","","","","NA","NA","","NA","","NA","NA","NA","NA","NA","NA","NA","","","","NA","","","NA","NA","NA","NA","","NA","Sport i Turystyka>Jazda na rowerze>Rowery","EUR","622154","AEID-5183","7","US $1 110,85","ebay_poland_bike","2022-10-17 17:45:07","www.ebay.pl","Poland","https://www.ebay.pl/itm/125493313382?hash=item1d37fbff66:g:JhUAAOSwXkJjETfV&amdata=enc%3AAQAHAAAA4J8oQ8IsizdH9OU9bUWiINrWLPkdo1blYP%2BYX2d9pAwGmkK3HkeW%2F7sVnYhkRD5aLT1%2FvtITW0C0pbURlRFj14jBpnaxidUnYBsrFNTV9GicB0ZNpGz4itahNNDoTjflc7A%2Fdizbp1gtCdHr1JNz23UYAraQwuJnuKMF6zKG2Q9nm%2FNyny81Gb%2Fd6zv1A4QEJuaQbzvdHqGiAlYRQ1SpWXg5vnORESoLwfuwZT0caXpEjHty7%2Bl5PujOxb4eu5Az9n0IDuQ9j4yktwr%2FtNRSO%2FvdK7bg4i25kkqtS4qkpOi8%7Ctkp%3ABk9SR-bL5PD8YA",""," Giant Tcr Advanced Pro Ml Rozmiar Ramki–","","Rowery"
"","","Mountain Bike","","Giant","","","","Używany: Przedmiot, który był poprzednio używany. Przedmiot może mieć oznaki drobnego zużycia, ale ... ","","","","","","","","","","","","","","","Giant Boulder","","","","","","","","","","","","No","","","Sport i Turystyka>Jazda na rowerze>Rowery","EUR","622154","AEID-5183","8","US $200,00","ebay_poland_bike","2022-10-17 17:45:07","www.ebay.pl","Poland","https://www.ebay.pl/itm/175421902953?hash=item28d7f5d069:g:RO4AAOSwZVljKSDn&amdata=enc%3AAQAHAAAAoPmo6sS6dSErSEyk4Pu3daVgO3egbSvaMrdfm2%2BQZLwpbXEe3Bl4Ppe26H2sU9%2FUQe7wqGOPSzororZEhCS9bNj6qk70%2FLbwnYUUYZ%2BPV%2BjRbi2zO5pdDHu6lZlCDvbvf56PCzVO%2Bu3HR%2F8caXkwMyJ4jiBbuV3ZUs04Du3O9G1OSEW6xQoG%2F139i%2FR89Y26RxJGAAQGoJzaHHZrTW%2FNiQk%3D%7Ctkp%3ABk9SR97L5PD8YA",""," Giant Boulder Mountain Bicycle","","Rowery"
"","","","","","","","","Używany: Przedmiot, który był poprzednio używany. Przedmiot może mieć oznaki drobnego zużycia, ale ... ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sport i Turystyka>Jazda na rowerze>Rowery","EUR","622154","AEID-5183","9","EUR 290,00","ebay_poland_bike","2022-10-17 17:45:08","www.ebay.pl","Poland","https://www.ebay.pl/itm/185582926657?hash=item2b359abb41:g:FFsAAOSwLW9jJK~H&amdata=enc%3AAQAHAAAA4HcfYtrFs%2FYLoGzjdhKCfJ0OONsy3c4GcxQIPEf0yQq%2Bc%2BrhCp8KsWVzwQ1XLc9EQ4sChcn4RoVRUU0mSXD6XWCAZeZJvEMdDBLJxElHdOnES3RWPjt0y5lagCF883YeaSHIRE8%2Bwa5WeCkn0fM1tAKSboSBis9ULTda5I5IprRCIp6PXgqxaJ%2BEGRFLwKSBiqjoDHr5IkR4SfvpOZF2zNZFuBYYs54hGgFN%2B%2B%2F%2BWqV7Zxs5zAyGcVBte03v1bwgpyuLHUwh%2F%2B0pH0x4mnKfwySdzSEHFr9FfAXTe9DNORJH%7Ctkp%3ABk9SR97L5PD8YA",""," Telaio Corsa In Carbonio Giant Cadex C.f.r","","Rowery"
"","","City Bike","","Giant","","","Blau","Odnowiony przez sprzedawcę","","Unisex Erwachsene","","","","","","","","","","","","","","","","","","","","","","","","","Nein","","20 Zoll","Sport i Turystyka>Jazda na rowerze>Rowery","EUR","622154","AEID-5183","10","EUR 289,00","ebay_poland_bike","2022-10-17 17:45:08","www.ebay.pl","Poland","https://www.ebay.pl/itm/334575117101?hash=item4de63b232d:g:LoIAAOSwjbxjNAl-&amdata=enc%3AAQAHAAAAoBlvMTMyjLDuPZAN%2BBumz4uXhjZNdIEpmRIz51lfWRsqpJ912LUlFs3oGNQnJh31Vz61j0tZ1UvbFhlmVw7%2BCzoUkwkKwP0RdikKwC3hy%2FxCd%2Ff2VQpdM92NW5VM04w%2Fqg7%2BCnqUmF30VQNoOvO8%2ByWTMnBPGr5OXIvyiVRVwMn4izhBbkFDNbcrlIrDutZQ9VsLb0tLZ1%2B3HlHFk4rhmVw%3D%7Ctkp%3ABk9SR97L5PD8YA",""," Giant Składany rower Rower Lotus Half Way Rower miejski z torbą–","","Rowery"
