"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tire_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","","","","","","","Nuevo: Un artículo nuevo, sin usar, sin abrir, sin desperfectos y en el paquete original (en caso de venir empaquetado). El empaquetado debe ser el mismo que se encontraría en una tienda, a menos que el artículo haya sido empaquetado por el fabricante con material no destinado a su venta en tienda (por ejemplo una bolsa o caja sin etiquetas). Consulta el anuncio del vendedor si deseas más información. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Móviles y telefonía>Móviles y smartphones","EUR","622154","AEID-5183","1","147,51 EUR","ebay_spain_bicycle","2022-10-12 15:06:23","www.ebay.es","Spain","https://www.ebay.es/itm/234700969493","","realme C33 Smartphone 4+64GB 6.5'' 50MP Octa Core Dual SIM+SD 5000mAh Versión EU","","Bicycle"
"","","","","","","","","Usado: Un artículo que se ha usado con anterioridad. El artículo puede mostrar un deterioro superficial, pero funciona perfectamente. Este artículo puede ser un modelo de muestra o haber sido devuelto al vendedor tras ser usado un cierto periodo de tiempo. En el anuncio del vendedor encontrarás todos los detalles y una descripción de los desperfectos, si los hay. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Artículos de deportes>Artículos de ciclismo>Bicicletas","EUR","622154","AEID-5183","2","1.283,00 EUR","ebay_spain_bicycle","2022-10-12 15:06:24","www.ebay.es","Spain","https://www.ebay.es/itm/354324907078?hash=item527f690446:g:q~8AAOSwQINjREcM&amdata=enc%3AAQAHAAAAoDEh5%2FVjOArIUiD%2F%2F77GNM19VTNs5ppR5XGnkfsHm%2FXIURXCN%2FEauJClLTNwOpK0sixzG%2BlH4cMF4LIitpInhUfWXwpPptAJwYp5O1fXdHqF%2BRhyDTOmtmKb2CrtQR%2BAWuyIDFr3A%2FPO%2BbTIA3F57FDurpd2VemWIjBKEkCc%2Bl6aGbsYYcgRjX1E%2BEMhKnAoWa3RXDs0XhNHquLTNwimRko%3D%7Ctkp%3ABk9SR_jV28v5YA","","Giant XTC Advanced Carbono Talla  S Reacondicionad","","Bicycle"
"","","Road Bike","Rim Brake","Giant","","","Black","Usado: Un artículo que se ha usado con anterioridad. El artículo puede mostrar un deterioro superficial, pero funciona perfectamente. Este artículo puede ser un modelo de muestra o haber sido devuelto al vendedor tras ser usado un cierto periodo de tiempo. En el anuncio del vendedor encontrarás todos los detalles y una descripción de los desperfectos, si los hay. ","","Unisex Adults","","NA","","","","","","","","8.04 kg","","Aluminum","TCR ALLIANCE TEAM","","NA","","","","NA","","","NA","Clincher Tires","NA","No","","","Artículos de deportes>Artículos de ciclismo>Bicicletas","EUR","622154","AEID-5183","3","USD3.168,00","ebay_spain_bicycle","2022-10-12 15:06:24","www.ebay.es","Spain","https://www.ebay.es/itm/125546968430?hash=item1d3b2eb56e:g:VX0AAOSwKOBjPPoa&amdata=enc%3AAQAHAAAA4GkLYyMo3RxymNR5UBSNmGzz%2FlVhOnPBRAcJ9kp%2Bu7HEVHxTXB2lcs4uYVbj9DSvboprratQGFILstvqrUIw4SoJciCVCVmL%2FjTwCtgXI%2FIgxP8q0ZEyfoB3V%2BfvALJ7G6iv5gEGU6kwBj%2F4%2BA7ZFqAbrrfUw5QzghpU1ndDjnUghB10BOl21VMW%2F684g1MrvKJ7hCaE3bkl31izmsxbisN5rS%2Febr%2Fe%2F6V90NERUMujtvFwF%2FvUDNod%2BHr2f35B80RUxq9Kz4YjoABfMTcwWbP2JqLaSyj1Xz%2FWN2u6eZ1H%7Ctkp%3ABk9SR_rV28v5YA","","Bicicleta de carretera GIANT TCR ALLIANCE TEAM S talla 105 5600 MIX 10S compuesto de carbono","","Bicycle"
"","","","","","","","","Usado: Un artículo que se ha usado con anterioridad. El artículo puede mostrar un deterioro superficial, pero funciona perfectamente. Este artículo puede ser un modelo de muestra o haber sido devuelto al vendedor tras ser usado un cierto periodo de tiempo. En el anuncio del vendedor encontrarás todos los detalles y una descripción de los desperfectos, si los hay. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Artículos de deportes>Artículos de ciclismo>Bicicletas","EUR","622154","AEID-5183","4","290,00 EUR","ebay_spain_bicycle","2022-10-12 15:06:24","www.ebay.es","Spain","https://www.ebay.es/itm/185582926657?hash=item2b359abb41:g:FFsAAOSwLW9jJK~H&amdata=enc%3AAQAHAAAA4HcfYtrFs%2FYLoGzjdhKCfJ0OONsy3c4GcxQIPEf0yQq%2Bc%2BrhCp8KsWVzwQ1XLc9EQ4sChcn4RoVRUU0mSXD6XWCAZeZJvEMdDBLJxElHdOnES3RWPjt0y5lagCF883YeaZyyRil6H7ltjmpjck0JJKtBHeVtK1jB9dMqXObORKj11RoboDXy3DMLdpsrI8rNmv3cA7PUCd5l%2FX5IxlK%2BRCyLuD25Cv%2FuiijR%2BqVIZ5JT4dAS8GkCDSRq1wFHENJMrMlKazd55d38Jpfbfmn4E0bhMMDXG0Fjg5RdfEIHNhwV%7Ctkp%3ABk9SR_zV28v5YA","","Telaio Corsa In Carbonio Giant Cadex C.f.r","","Bicycle"
"","","","","","","","","Usado: Un artículo que se ha usado con anterioridad. El artículo puede mostrar un deterioro superficial, pero funciona perfectamente. Este artículo puede ser un modelo de muestra o haber sido devuelto al vendedor tras ser usado un cierto periodo de tiempo. En el anuncio del vendedor encontrarás todos los detalles y una descripción de los desperfectos, si los hay. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Artículos de deportes>Artículos de ciclismo>Bicicletas","EUR","622154","AEID-5183","5","1.283,00 EUR","ebay_spain_bicycle","2022-10-12 15:06:24","www.ebay.es","Spain","https://www.ebay.es/itm/354324907069?hash=item527f69043d:g:1lwAAOSwhYBjREcT&amdata=enc%3AAQAHAAAAoAtzHc8Xuxie2whTi5GWwXLT8p%2FORWuMWuJFuylmdvc0hlVkicOjvgYmXg6PE6n2Zv1o0pxgSuwEG5pH8%2FLhbHcjiJuoASP8bnoKwiB%2B0%2B%2BtYrtW72nfvDxwv2TXq8Fip%2F4RdvwsVNR233nPuuRh8y5qOqcsp8h9IBR4GocGR04fjvD24AbTMKSDfwpUYREpF0nyIwFMxqcbliiFJYkE7jg%3D%7Ctkp%3ABk9SR_jV28v5YA","","Giant XTC Advanced Carbono Talla  M Reacondicionad","","Bicycle"
"","","Mountain Bike","Cantilever Brake","Giant","","","Multi-Color","","","Unisex Adults","","Reflectors","","","17""","","Derailleur Gears","Unisex Adult","Flat Bar","","","Chromoly, Steel","Yukon","","21 Speed","","","","Trigger Shifter","","","No Suspension","Clincher Tires","","No","","26""","Artículos de deportes>Artículos de ciclismo>Bicicletas","EUR","622154","AEID-5183","6","","ebay_spain_bicycle","2022-10-12 15:06:25","www.ebay.es","Spain","https://www.ebay.es/itm/255763521247?hash=item3b8cb19edf:g:BtkAAOSwPfpjI86p&amdata=enc%3AAQAHAAAAoNL4FQicT3muAEDOyejEF6WV3JXEtkGw5bX1NRW8cGdQVfLJQ3Q5M%2BiQqpXMjSvJKJK5bEpJn1N1m9KVqVCj%2B8UnREbBAPJwt7FWlCqz7VW%2Fb95E71duIbab%2F%2BqUhhwDXrbcNE%2B%2FvJzpVqeSOuHpGrNuTK8Po3eBICpyByp9OeF%2B8%2FUPIlnz4vezL43OawCP1z0fPzvvoyrTp%2BCMvQMd5ds%3D%7Ctkp%3ABk9SR_jV28v5YA","USD69,00","Giant Yukon para hombre niños bicicleta de montaña hombre negro híbrido bicicleta de carretera ","0","Bicycle"
"","","Mountain Bike","","Giant","","","","Usado: Un artículo que se ha usado con anterioridad. El artículo puede mostrar un deterioro superficial, pero funciona perfectamente. Este artículo puede ser un modelo de muestra o haber sido devuelto al vendedor tras ser usado un cierto periodo de tiempo. En el anuncio del vendedor encontrarás todos los detalles y una descripción de los desperfectos, si los hay. ","","","","","","","Small","","","","","","Does not apply","Aluminum, Aluminum Alloy","","","","","","","","","","Front","","","","","29 in","Artículos de deportes>Artículos de ciclismo>Bicicletas","EUR","622154","AEID-5183","7","USD1.299,99","ebay_spain_bicycle","2022-10-12 15:06:25","www.ebay.es","Spain","https://www.ebay.es/itm/374289231486?hash=item5725606e7e:g:DnUAAOSwMoBjO3Qw&amdata=enc%3AAQAHAAAAoKydrn3SQbql7iVD6ysslbpbtOgASOLVneudy3oRljcY2RuhGegMVcv8V%2B3RR4%2FA6BLeR3KstGHhqOSbZ1xFkhfULFJ8xR4niZF3AtIoW4Pz%2FMCAe51HDIHZxOSPANP%2FP8smgHDFpl3LalU2wnxL4H9LsYPZuRD9ulH2yCJ0JE5mYHOnixXntBJp4OgzySDq2VtAojO7WBz1lnvXBcPfHOo%3D%7Ctkp%3ABk9SR_rV28v5YA","","Bicicleta de montaña Giant Fathom 29 2021 1 pequeña Hardtail SRAM NX Eagle verde usada","","Bicycle"
"","17","Road","Caliper Brake - Side Pull","Giant","","","Black","Usado: Un artículo que se ha usado con anterioridad. El artículo puede mostrar un deterioro superficial, pero funciona perfectamente. Este artículo puede ser un modelo de muestra o haber sido devuelto al vendedor tras ser usado un cierto periodo de tiempo. En el anuncio del vendedor encontrarás todos los detalles y una descripción de los desperfectos, si los hay. ","","","","","","","XS","","","","","","Does Not Apply","Composite","Giant OCR C1","2005","","","","","","","","","","Does not apply","No","","700C","Artículos de deportes>Artículos de ciclismo>Bicicletas","EUR","622154","AEID-5183","8","USD479,99","ebay_spain_bicycle","2022-10-12 15:06:25","www.ebay.es","Spain","https://www.ebay.es/itm/265919253352?hash=item3dea05cb68:g:ka8AAOSwgHtjPMC5&amdata=enc%3AAQAHAAAAoP1sO8hNO2fOnwL4LC1g0%2FNhKb2xd4THJhCfqQZO7vRQ%2FPEPurRcEpJIxOd3h6UCi1Soq7JWZYSUZ3LvJBtRxUcscgUTZ0db%2FQ%2By1aXMWwrk0RXY3JLx25lEdkZQ0%2BgG8Ud%2BxkMHZHPX76virVHuXBFzuAwfodbrEj58pcEv9TAQ362NchhQDdgYmlCZQCGn%2F8nLq42Jrosqkwro115UnDM%3D%7Ctkp%3ABk9SR_rV28v5YA","","Cuadro gigante de bicicleta de carretera OCR C1 XS 700c negro rojo","","Bicycle"
"","0","Road Bike","Disc Brake - Hydraulic","Giant","","","Orange/Black","Nuevo: Otro (ver detalles): Un artículo nuevo, sin usar y sin ninguna señal de desgaste. Puede que falte el empaquetado original del artículo, o que este haya sido abierto o ya no esté precintado. El artículo puede no haber cumplido las normas de calidad del fabricante, o ser un artículo nuevo y sin usar pero con pequeños desperfectos. En el anuncio del vendedor encontrarás todos los detalles y una descripción de los desperfectos, si los hay. ","","","","","","","Large","","Automatic Gear Box","","Drop Bar","","","Carbon Fibre","TCR PRO 0 AX","2022","12 Speed","","","","","","","","","","No","","700C","Artículos de deportes>Artículos de ciclismo>Bicicletas","EUR","622154","AEID-5183","9","","ebay_spain_bicycle","2022-10-12 15:06:25","www.ebay.es","Spain","https://www.ebay.es/itm/255764028939?hash=item3b8cb95e0b:g:oTkAAOSwKOBjREEM&amdata=enc%3AAQAHAAAA4BsTMl1EtxYb%2BhuvquK5ETM%2FgUc%2B0n7Cn6NWXvp6WZzDLz8yda9xQthM3QQsz8CFXgkqJeYMDjhHPfIb9pKTlFkAWCbVo%2BFXR%2BcNNY%2BU%2Fp%2FHrEGxe9rWIzmuYW07KrlrhRc0ZoKkL6ssJWx0vgv0XveKdQy9B4HyOENlJBTD2CWrDAWtKBuyoRRmHiwmMurGEqQ1YNtwY0NM4nKphix4rskh3DqkjD1%2BMYkylykq6X9qrl%2B%2BepI40biyypZm9SOTfVg8ykGYMWWTfuKcOgDbFMLKy7NFB5TCq2UcUuVGzQ6y%7Ctkp%3ABk9SR_zV28v5YA","GBP 3.300,00","TCR Advanced Pro Disc 0 AXS 2022","1","Bicycle"
"","","","","","","","","Usado: Un artículo que se ha usado con anterioridad. El artículo puede mostrar un deterioro superficial, pero funciona perfectamente. Este artículo puede ser un modelo de muestra o haber sido devuelto al vendedor tras ser usado un cierto periodo de tiempo. En el anuncio del vendedor encontrarás todos los detalles y una descripción de los desperfectos, si los hay. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Artículos de deportes>Artículos de ciclismo>Bicicletas","EUR","622154","AEID-5183","10","1.283,00 EUR","ebay_spain_bicycle","2022-10-12 15:06:25","www.ebay.es","Spain","https://www.ebay.es/itm/354324907145?hash=item527f690489:g:t0EAAOSwUhtjREcL&amdata=enc%3AAQAHAAAAoP4iw%2F1hCajF3mKBiygY8GAGkaPSXiQD%2F%2BQYmIEndsTcu1Pr16p9VW1fW%2F%2FG1Hixd0ZLjGf4rI6u0y71faLLqVaaOV%2BEkAYKkA9GIDBTkQRPw4tAAyxDZRoRF25zfSyZtod3RsmhodYAFukCS6J4sy58hvJ8pYyq4r7O14HxiU9VRlPPV1Bd0vIk2GDAlGv0O7BT1gP79kKlxHxKn0S9O30%3D%7Ctkp%3ABk9SR_jV28v5YA","","Giant Trance X Talla S Reacondicionad","","Bicycle"
