"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tire_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","","","","","","","Nuevo: Un artículo nuevo, sin usar, sin abrir, sin desperfectos y en el paquete original (en caso de venir empaquetado). El empaquetado debe ser el mismo que se encontraría en una tienda, a menos que el artículo haya sido empaquetado por el fabricante con material no destinado a su venta en tienda (por ejemplo una bolsa o caja sin etiquetas). Consulta el anuncio del vendedor si deseas más información. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Móviles y telefonía>Móviles y smartphones","EUR","622154","AEID-5183","1","147,51 EUR","ebay_spain_bike","2022-10-11 08:53:30","www.ebay.es","Spain","https://www.ebay.es/itm/234700969493","","realme C33 Smartphone 4+64GB 6.5'' 50MP Octa Core Dual SIM+SD 5000mAh Versión EU","","Bike"
"","","","","Unbranded","","","Black, Red","Nuevo: Un artículo nuevo, sin usar, sin abrir y sin desperfectos. Consulta el anuncio del vendedor si deseas más información. ","","","","","","","","","","","","","Does Not Apply","ABS","","","","","","","","","","","","Does Not Apply","","","","Artículos de deportes>Artículos de ciclismo>Electrónica para bicicletas>Ciclocomputadores y GPS para bicicletas","EUR","622154","AEID-5183","2","USD8,20","ebay_spain_bike","2022-10-11 08:53:30","www.ebay.es","Spain","https://www.ebay.es/itm/304657653840?hash=item46ef02e050:g:D8MAAOSwRvxjRBD0&amdata=enc%3AAQAHAAAA4On55WP3qRx2gCNvj2AJjpiTL5OY%2F185IqFnToOzhPbpeEXoW2rc%2BCVoPdaRAxwO0eJZNyfhzrfcG7ZgVN49U0xJZN5AF1SKsg0gvxHYVUrdLeonW5bHHAfzcHqRxrAwPosyBFmG6imQteB3nAEHrxbyMmzWpauMkP6Xz7EWuKGC6PuADHNYzrp8BtgkzONenGlynmz8Nc%2B7CZX0OZrX6P0S2iaGMlbuJnEcj2dcNdT90edBm9Xpws2XX4Uydd6O51z995vZoqlEGjaLPUUW1u0iyU8ykGSfIFIbl2Im1uJU%7Ctkp%3ABk9SR-zN_eP4YA","","Montaje de computadora de manillar integrado para bicicleta aerodinámica gigante Garmin #sf","","Bike"
"","","","","Unbranded","","","Black, Red","Nuevo: Un artículo nuevo, sin usar, sin abrir y sin desperfectos. Consulta el anuncio del vendedor si deseas más información. ","","","","","","","","","","","","","Does Not Apply","ABS","","","","","","","","","","","","","","","","Artículos de deportes>Artículos de ciclismo>Electrónica para bicicletas>Ciclocomputadores y GPS para bicicletas","EUR","622154","AEID-5183","3","GBP 4,05","ebay_spain_bike","2022-10-11 08:53:30","www.ebay.es","Spain","https://www.ebay.es/itm/144761839230?hash=item21b47a5e7e:g:xR8AAOSw3q5jRQCn&amdata=enc%3AAQAHAAAAoNjcFFgWfEXcuODhLQ2c3dPzPXcd42tl9IfgWhhBYxTrqNEQm%2FRHikP6wuFEM4rDK2JaQXeFV4OkxTtHKE3hjSdUswW%2F8KM%2Faa8SMCaanveQls2w7W7VIOGIbSenXA58hi1iwJzTa8MZKx%2BMD1fSSSleygXoLF4Ip2j%2FGadUYUuJiokBkj0fHpfmP60Dx3jH96M3W6SBkxR1gcn4VGoX4Bw%3D%7Ctkp%3ABk9SR-zN_eP4YA","","Montaje de computadora de manillar integrado para bicicleta aerodinámica gigante Garmin SLR CNC H1","","Bike"
"","","","","Unbranded","","","","Nuevo: Un artículo nuevo, sin usar, sin abrir, sin desperfectos y en el paquete original (en caso de venir empaquetado). El empaquetado debe ser el mismo que se encontraría en una tienda, a menos que el artículo haya sido empaquetado por el fabricante con material no destinado a su venta en tienda (por ejemplo una bolsa o caja sin etiquetas). Consulta el anuncio del vendedor si deseas más información. ","","","","","","","","","","","","","Does Not Apply","","","","","","","","","","","","","","","","","Artículos de deportes>Artículos de ciclismo>Componentes y piezas para bicicletas>Pastillas de freno para bicicletas","EUR","622154","AEID-5183","4","GBP 2,73","ebay_spain_bike","2022-10-11 08:53:31","www.ebay.es","Spain","https://www.ebay.es/itm/195406735043?hash=item2d7f2626c3:g:zswAAOSwlmljQ9BL&amdata=enc%3AAQAHAAAA4PM4mBUIcpUIPbHP%2Fr6U83ydfo1%2B94%2Bld0H%2BsyultFnBXoOya8lnzySmQG9KdAaqCaFCBgAx%2B9L4UBX%2Bwwow438KU%2Fp0nU08EZsF8rxRbPCHfk41pOWzoJDrJU5ZzXiWz%2BSMX4xQ1VBSCjtVZ2R%2F2GX0PGy5Ays6YTc%2BzZ7AE0VcmFfWjHfSy5XB5gdjH80pGosUwltVJss%2FJvl2I%2B43HMYi%2FoSedqLR82eTuE%2FIejPdWcU02EAtd%2FYsObP10KI5pNkcIqfoiWXcjAKXXO3TkFR9CZwjOyfw1%2BmpKh8XLb53%7Ctkp%3ABk9SR-zN_eP4YA","","2pcs MTB Bike Brake Pads Bicycle Semi-Metallic Disc Brakes for Shimano Giant #gi","","Bike"
"","","","","Unbranded","","","Black & Silver","Nuevo: Un artículo nuevo, sin usar, sin abrir, sin desperfectos y en el paquete original (en caso de venir empaquetado). El empaquetado debe ser el mismo que se encontraría en una tienda, a menos que el artículo haya sido empaquetado por el fabricante con material no destinado a su venta en tienda (por ejemplo una bolsa o caja sin etiquetas). Consulta el anuncio del vendedor si deseas más información. ","","","","","","","","","","","","","Does Not Apply","Steel","","","","","","","","","","","","","","","","Artículos de deportes>Artículos de ciclismo>Componentes y piezas para bicicletas>Rodamientos para bicicletas","EUR","622154","AEID-5183","5","GBP 5,32","ebay_spain_bike","2022-10-11 08:53:31","www.ebay.es","Spain","https://www.ebay.es/itm/195403416758?hash=item2d7ef384b6:g:ukEAAOSwk91iaPjS&amdata=enc%3AAQAHAAAAoGw0cNK4pfbv7U8LZbuixA%2BQWxaJzj0DS6l6ZVP58MrM1GED37CSW%2F9RfGWZUUYTtdM1DoPjx%2Bq1FmtoqT50oLJ7%2BPUBCV0cF50e4PL7OvjjKowE2DSH0Zy%2FTd1PpPoYdRj7onv0DT2tm4Zf%2B5IuEz5pN%2FzvdcXY8YdtSoOYBgfHFHS4rvfxvI9iKBuDwIdjaOuqIIq6KL57ZpkS8%2BQD%2FWs%3D%7Ctkp%3ABk9SR_TN_eP4YA","","2 piezas cojinetes de soporte inferior buje para bicicleta 163110 2RS (16x31x10 mm) para gigante","","Bike"
"","","","","Giant","","","","Usado: Un artículo que se ha usado con anterioridad. En el anuncio del vendedor encontrarás todos los detalles y una descripción de los desperfectos, si los hay. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Artículos de deportes>Artículos de ciclismo>Componentes y piezas para bicicletas>Sillines para bicicletas","EUR","622154","AEID-5183","6","","ebay_spain_bike","2022-10-11 08:53:31","www.ebay.es","Spain","https://www.ebay.es/itm/144761320465?hash=item21b4727411:g:trgAAOSwWMtjRGTF&amdata=enc%3AAQAHAAAAoDAtNAOm%2FWFa1Kb%2B2N1SH1BWo3ao4T9JzKoBnI3QY6OQQrkEc%2F5Gkl54cok6jgYcFW%2FDEpNe8zPj7DtGs5Y51b8VLuGyq3rx4LP8WAlyk7zofdYXGlrAWp8kM0l5iGgqj%2Bv8IsneH3aEBw0aFxV3Ux5Xx5JgaVvVMfGS%2B4y4aKD1tRvL2MRqP4H%2B29z%2Bt4sKjHRjd4Pk5tWp874cORMBlUk%3D%7Ctkp%3ABk9SR-zN_eP4YA","GBP 28,00","Sillín de bicicleta Giant Contact SL de flujo de partículas neutras excelente estado","0","Bike"
"","","Mountain Bike, Universal","","Unbranded","","","Silver","Nuevo: Un artículo nuevo, sin usar, sin abrir, sin desperfectos y en el paquete original (en caso de venir empaquetado). El empaquetado debe ser el mismo que se encontraría en una tienda, a menos que el artículo haya sido empaquetado por el fabricante con material no destinado a su venta en tienda (por ejemplo una bolsa o caja sin etiquetas). Consulta el anuncio del vendedor si deseas más información. ","","","","","","","","","","","","null","Does Not Apply","Aluminum Alloy","","","","","","","","","","","","Does not apply","","","","Artículos de deportes>Artículos de ciclismo>Componentes y piezas para bicicletas>Otros componentes y piezas para bicicletas","EUR","622154","AEID-5183","7","USD10,04","ebay_spain_bike","2022-10-11 08:53:32","www.ebay.es","Spain","https://www.ebay.es/itm/314182547427?hash=item4926bd37e3:g:wwcAAOSwJxBjQ5hD&amdata=enc%3AAQAHAAAA4J5Vtv6Sb6UwOt917twK%2BmgQkLx4vtSSFT2uN94g4TAikbnHZGQL0vDpBy0lekEJ21b%2FnAGoDmNUEcphkb1YOXd0GjggIjD7ZSK3BSeG3H2ePbQgu6SEYjSpqiPMKoqj54PtJXsUimIwnT5hFe4bpb%2Fi0n3ieVd7u4dSm%2Brq%2FQssj9CMEhhdtWav3t%2B7qJb29zfqUaGIQTqVuV7dngClobF9SPgpUy16mZWxxsfgwt%2Fe%2FjmATQQTYqRNsc1Rrc7N1GpmFQyCg4hxskkAgCmQtHBD%2BaWFfzO3cZ3LoCZeZx57%7Ctkp%3ABk9SR-7N_eP4YA","","Cappello invernale Louise Misha Beanie Lauria lavorato a maglia crema età 2 anni","","Bike"
"","","","","Unbranded","","","","Nuevo con etiquetas: Un artículo nuevo, sin usar y sin estrenar, en el paquete original (por ejemplo, la caja o bolsa originales) y/o con las etiquetas originales. ","","","","","","","","","","","","","Does Not Apply","Aluminium","","","","","","","","","","","","","Ja","","","Artículos de deportes>Artículos de ciclismo>Accesorios para bicicletas>Espejos retrovisores para bicicletas","EUR","622154","AEID-5183","8","6,14 EUR","ebay_spain_bike","2022-10-11 08:53:32","www.ebay.es","Spain","https://www.ebay.es/itm/354325386815?hash=item527f70563f:g:yEwAAOSwo6FjQv-k&amdata=enc%3AAQAHAAAA4A77RfB1PgL4ZG%2BN%2BFWJB4dxmSQvX0zfSDTpSXWwSKxxVfSAlawf4g1BrRysnQW2rRz8rYmcIajpcsZZ4sXtm59hFv0ai68qyYt4GJT0f5494b3iENtkeKMp6R04%2F1OjPQ97%2BSA8NKIQemNlZSZrE46Jza%2FXKYde5trn6%2FabjTA%2B%2FMsLIXRBOfPV0U4DQNky0jozeeva69MF2oodrFSWSK61ed%2F2NX2NBTsXgg714SRzdlWcVomt3QmQY0Vf1dnc8QVCpiggnCs2J51DC50n58HHGbYD39wUfH5i%2Bu%2BkoZfT%7Ctkp%3ABk9SR-zN_eP4YA","","Bicicletas de carretera de montaña #167 desviador colgador de engranajes para ganchillo gigante TCR TCX","","Bike"
"","","Road Bike","","Giant","","","Blue","Nuevo: Un artículo nuevo, sin usar, sin abrir, sin desperfectos y en el paquete original (en caso de venir empaquetado). El empaquetado debe ser el mismo que se encontraría en una tienda, a menos que el artículo haya sido empaquetado por el fabricante con material no destinado a su venta en tienda (por ejemplo una bolsa o caja sin etiquetas). Consulta el anuncio del vendedor si deseas más información. ","","","","","","","","","","","","","41114","","","","","","","","","","","","","","","","","Artículos de deportes>Artículos de ciclismo>Componentes y piezas para bicicletas>Puños y cintas para manillar de bicicletas","EUR","622154","AEID-5183","9","GBP 12,00","ebay_spain_bike","2022-10-11 08:53:32","www.ebay.es","Spain","https://www.ebay.es/itm/115559950166?hash=item1ae7e8e756:g:zLEAAOSwWXxjRGs4&amdata=enc%3AAQAHAAAAoP6d8jJVANDtzrxSZhBq5MGA1qYfZQC4If4Ceuu5owQ%2BPPm36FSdXIuCiPDsgvPNhdE9SpNwUIUiluZMiza3IFsbEK35vIPdJe1x9UNzNTx96dpHtWCkaAO0LWrRt%2FtC6ekm7mNf6GiJQ%2BZqAwl8KvJw4OrPVUjqYi6jr7M6tUZPFvkvoMzJ%2BsifN%2FsxlRNFQpb7QGB0zAVYVlQZqYylB1s%3D%7Ctkp%3ABk9SR-7N_eP4YA","","Cinta de manillar azul Giant Stratus 2.0, cinta de barra de bicicleta de carretera","","Bike"
"","","Mountain Bike, Universal","","Unbranded","","","Silver","Nuevo: Un artículo nuevo, sin usar, sin abrir, sin desperfectos y en el paquete original (en caso de venir empaquetado). El empaquetado debe ser el mismo que se encontraría en una tienda, a menos que el artículo haya sido empaquetado por el fabricante con material no destinado a su venta en tienda (por ejemplo una bolsa o caja sin etiquetas). Consulta el anuncio del vendedor si deseas más información. ","","","","","","","","","","","","null","Does Not Apply","Aluminum Alloy","","","","","","","","","","","","Does not apply","","","","Artículos de deportes>Artículos de ciclismo>Componentes y piezas para bicicletas>Otros componentes y piezas para bicicletas","EUR","622154","AEID-5183","10","USD10,04","ebay_spain_bike","2022-10-11 08:53:32","www.ebay.es","Spain","https://www.ebay.es/itm/144761303428?hash=item21b4723184:g:tPEAAOSwzgBjQ~4c&amdata=enc%3AAQAHAAAA4NJ%2FeJembja1Riwp0pEPVNZfQnmEdRWQnGXmUHuPXaJBh1lFkiJnLcLcTo%2BeXr1ancq7tk3%2FN4thzOi3A7HlqBmAwLK4mShOZ8qph7IY00%2BmD3Fwi9Nr1WsmijWw4kOj%2B2JmqZy1bptdKHMa2yyQIGuDQaKezhQkkUfizanZF48AGn1WwPdvg7lvWhLXEE5tJwgVK2URUuhRItZO98UL2UTs4cNdkhi3ApDG32HK%2Fcr4H0nSME%2FJAOHPEtD8Ei6Z6nXuY7OBgOlKNZJseoM4e8eHp%2BfCBg8knJAgtdgK8b%2Fq%7Ctkp%3ABk9SR-zN_eP4YA","","Cappello invernale Louise Misha Beanie Lauria lavorato a maglia crema età 2 anni","","Bike"
