"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tire_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","NA","NA","GIANT","","","NA","Gebraucht: Artikel wurde bereits benutzt. Ein Artikel mit Abnutzungsspuren, aber in gutem Zustand und vollkommen funktionsfähig. Bei dem Artikel handelt es sich unter Umständen um ein Vorführmodell oder um einen Artikel, der an den Verkäufer nach Gebrauch zurückgegeben wurde. Weitere Einzelheiten, z. B. genaue Beschreibung etwaiger Fehler oder Mängel im Angebot des Verkäufers. ","","NA","","","","NA","NA","","NA","","NA","NA","NA","NA","NA","NA","NA","","","","NA","","","NA","NA","NA","NA","","NA","Sportartikel>Fahrradausrüstung>Fahrräder","CHF","622154","AEID-5183","1","US $1.882,57","ebay_switzerland_bike","2022-10-10 18:00:43","www.ebay.ch","Switzerland","https://www.ebay.ch/itm/125493313360?hash=item1d37fbff50:g:qEQAAOSwhnljETfV&amdata=enc%3AAQAHAAAA4M4qMsYUOxuKhmZ7ypi6ZdN781i9tSg8ZuxWp1gkDkfEAtYmD1uniXUUbD%2F8OiFZp2861qhSRaBkzP6sRXuKX8A9HisLu85vJHBSf9mdCmC8v1V5%2BUETwp4z8vleoN1J2vx4h1%2FVBotEsJyv7OFF7PEwFtB63Fh3pguQa7adtdQorM9DJJ%2FUeq0u1FT3phyxlB9kRt%2F524NyFqfKJE2pBR6VGuqCPYzzM%2BY6ttFyyCEJ%2F8FDlwYrDAJzrdAURqThljIFRHehXhyOCrTLu%2BbxHFBsrhbfLM6YiyvxhZ9hLAJu%7Ctkp%3ABk9SR6re8rD4YA","","Giant Tcr Advanced Sl Dura Ace Road Bike","","Bike"
"","1","Mountain Bike","Disc Brake - Hydraulic","Giant","","","GREY","Neu: Neuer, unbenutzter und unbeschädigter Artikel in nicht geöffneter Originalverpackung (soweit eine Verpackung vorhanden ist). Die Verpackung sollte der im Einzelhandel entsprechen. Ausnahme: Der Artikel war ursprünglich in einer Nichteinzelhandelsverpackung verpackt, z. B. unbedruckter Karton oder Plastikhülle. Weitere Einzelheiten im Angebot des Verkäufers. ","","Unisex Adult","","","","","Large","","","","Flat Bar","","Does Not Apply","Aluminum","TALON 2 29""","2021","16","","","","","","","Front","Clincher Tires","","","","29 in","Sportartikel>Fahrradausrüstung>Fahrräder","CHF","622154","AEID-5183","2","US $598,00","ebay_switzerland_bike","2022-10-10 18:00:44","www.ebay.ch","Switzerland","https://www.ebay.ch/itm/325345504420?hash=item4bc01a6ca4:g:vv0AAOSwLpVjJI7O&amdata=enc%3AAQAHAAAAoLLVh%2FWdHJqBvdzi2PR99rhvKmKf3cetCWHgqtqXTiHOzIssKW06MhDGBWopW5lb34EEdTxRgaToZg8LcB%2BA6LZ8kZp3kxVd7LXj2USs881kH8rhwYYPs2EVrVfg%2FdS%2B2cWpMcH8iiA2cHKoyz8P3FeHbbF4CcB3Lt%2BE17FQEFSg67N50hIofQtQiDXxRAKn%2By95KEIKQ2ok5wjE4DJSFIY%3D%7Ctkp%3ABk9SR6re8rD4YA","","GIANT TALON 29 2 GREY L 2021 Bike - MTB DISC BRAKE Mountain Bikes","","Bike"
"","4","Road Bike","Caliper Brake","Giant","","","Multicolor","Gebraucht: Artikel wurde bereits benutzt. Ein Artikel mit Abnutzungsspuren, aber in gutem Zustand und vollkommen funktionsfähig. Bei dem Artikel handelt es sich unter Umständen um ein Vorführmodell oder um einen Artikel, der an den Verkäufer nach Gebrauch zurückgegeben wurde. Weitere Einzelheiten, z. B. genaue Beschreibung etwaiger Fehler oder Mängel im Angebot des Verkäufers. ","","","","NA","","NA","S Size","","NA","","NA","8.9kg","NA","Aluminum","CONTEND SL1 2018 Model","2018","NA","","","","NA","","","NA","Clincher Tires","Does not apply","No","","NA","Sportartikel>Fahrradausrüstung>Fahrräder","CHF","622154","AEID-5183","3","US $3.308,00","ebay_switzerland_bike","2022-10-10 18:00:44","www.ebay.ch","Switzerland","https://www.ebay.ch/itm/125548486929?hash=item1d3b45e111:g:VrEAAOSwh-VjPfTD&amdata=enc%3AAQAHAAAA4NPGIpPtt9x3tOiX7l4FHVZg5zqCaa6aJKARH%2F61j1h4mDF7psqryZ7EtLeG2U0KEYZ0kTo12VSu0EwDYjV5VJz3Z3RYwvjDT7Hpj0kqVyF%2Fb6cJ0jR79V%2B9tVmchSH%2BpweS0D%2Fd7awiBDQSPo0RAF0KGjPGP8tPQJ22PmBS%2BLZ8EXtsnyfPvrZKuWejVhO%2Fzj0Kz4Y0tOnpK9nRHvfakRIOElVOOSP5t%2Fj4x6NUujdCB%2BaEaXUOEc5pDaVR8m76aHGtLRKmEJrmDf5KKIxHJNHlJF5JNSRCaDU67oPsJV1h%7Ctkp%3ABk9SR6re8rD4YA","","GIANT Contend SL1 2018 S Size Shimano 105 5800 MIX 11S Aluminum Road Bike","","Bike"
"","","Hybrid Bike","","Giant","","","","Gebraucht: Artikel wurde bereits benutzt. Ein Artikel mit Abnutzungsspuren, aber in gutem Zustand und vollkommen funktionsfähig. Bei dem Artikel handelt es sich unter Umständen um ein Vorführmodell oder um einen Artikel, der an den Verkäufer nach Gebrauch zurückgegeben wurde. Weitere Einzelheiten, z. B. genaue Beschreibung etwaiger Fehler oder Mängel im Angebot des Verkäufers. ","","","","","","","XL","","","","","","","","","","","","","","","","","","","","","","","Sportartikel>Fahrradausrüstung>Fahrräder","CHF","622154","AEID-5183","4","US $649,99","ebay_switzerland_bike","2022-10-10 18:00:44","www.ebay.ch","Switzerland","https://www.ebay.ch/itm/374281569745?hash=item5724eb85d1:g:59MAAOSwRvxjNvAB&amdata=enc%3AAQAHAAAAoBnTRtsu35TfVEknaKqBmml9ecL%2F40eH94I%2B%2BqU6tBrni%2Fto9%2FycjpB4Uf1IgQNITpJaP8yGCBjOdiFCUqaO26GwILXgcTZ12gMHhdcpHbwBYXIF2UTqe8my2e95n2xb3BCleAIVMPU84PJgFcYanZdNrkvcsnPgoc88uwyI0z4goSt2WD4UYcP%2Fsbu8OiZhgfPW5S6822Aak9%2FB4btbK94%3D%7Ctkp%3ABk9SR6re8rD4YA","","USED Giant Escape 2 Disc XL Fitness Hybrid Bike Flat Bar 3x8 speed","","Bike"
"","","Road Bike","Rim Brake","Giant","","","Black","Gebraucht: Artikel wurde bereits benutzt. Ein Artikel mit Abnutzungsspuren, aber in gutem Zustand und vollkommen funktionsfähig. Bei dem Artikel handelt es sich unter Umständen um ein Vorführmodell oder um einen Artikel, der an den Verkäufer nach Gebrauch zurückgegeben wurde. Weitere Einzelheiten, z. B. genaue Beschreibung etwaiger Fehler oder Mängel im Angebot des Verkäufers. ","","Unisex Adults","","NA","","","","","","","","8.04 kg","","Aluminum","TCR ALLIANCE TEAM","","NA","","","","NA","","","NA","Clincher Tires","NA","No","","","Sportartikel>Fahrradausrüstung>Fahrräder","CHF","622154","AEID-5183","5","US $3.168,00","ebay_switzerland_bike","2022-10-10 18:00:44","www.ebay.ch","Switzerland","https://www.ebay.ch/itm/125546968430?hash=item1d3b2eb56e:g:VX0AAOSwKOBjPPoa&amdata=enc%3AAQAHAAAA4GkLYyMo3RxymNR5UBSNmGzz%2FlVhOnPBRAcJ9kp%2Bu7HEVHxTXB2lcs4uYVbj9DSvboprratQGFILstvqrUIw4SoJciCVCVmL%2FjTwCtgXI%2FIgxP8q0ZEyfoB3V%2BfvALJ7G28Kwu89BXdQZV9RPT8vFKW8U57dtK6L8Qnp246Zqyx64vVDihEA1%2BFR0Sr64T%2B1M2kV%2F48AkMVZUorz27Imo8ZJUs2QXSX8H%2BDPJak4SjNqxmp6b%2Br93dmx5CLqWl17NiDQ7sJxj1cQQ1Uw2F77NjEstuLmZx60S7TKNhyVl6o4%7Ctkp%3ABk9SR6re8rD4YA","","GIANT TCR ALLIANCE TEAM S size 105 5600 MIX 10S Carbon composite Road Bike","","Bike"
"","2","Road Bike","","Giant","","","Black","Gebraucht: Artikel wurde bereits benutzt. Ein Artikel mit Abnutzungsspuren, aber in gutem Zustand und vollkommen funktionsfähig. Bei dem Artikel handelt es sich unter Umständen um ein Vorführmodell oder um einen Artikel, der an den Verkäufer nach Gebrauch zurückgegeben wurde. Weitere Einzelheiten, z. B. genaue Beschreibung etwaiger Fehler oder Mängel im Angebot des Verkäufers. ","","","","","","","M","","","","","","","Carbon Fiber","Defy Advanced 2","2020","11 Speed","","","","","","","","Tubeless Tires","","No","","700C","Sportartikel>Fahrradausrüstung>Fahrräder","CHF","622154","AEID-5183","6","US $2.520,00","ebay_switzerland_bike","2022-10-10 18:00:44","www.ebay.ch","Switzerland","https://www.ebay.ch/itm/403915778585?hash=item5e0b41aa19:g:8nMAAOSwH4FjOATj&amdata=enc%3AAQAHAAAA4Dqxl5EqAm15WADIg3GCM%2FadlUMXfvu4u2UvMyMAgXcZzSS%2BNDsiXL%2FYochV0pxKaI%2FDgGVwnat%2BSeF2aPCVXR7SfWjmH2lU6PtlSegGg6eJpL0Cu1Ob9yKXet5ktXxuevVTP%2F70KjEqzvZJ%2FcZjOWjgJWoe%2FJHLhIUOlApl44hy%2FlIWGj2XNUnMCvKgdVJrWXEF%2FUS1DBx0L7P%2Fu1RvvfJYoYq4dibt16IsccMI%2FgbORRr73wjXTbHY75PTTYcY5t0tiI1Oh1wVFOyx0HZDKXLynzoVctSgnD1kKzv7bZx1%7Ctkp%3ABk9SR6re8rD4YA","","2020 Giant Defy Advanced 2 Medium Bike Ultegra 8020 Hydro","","Bike"
"","0","Racing Bike","Disc Brake - Hydraulic","Giant","","","Knight Shield / Reflective Rosewood","Neu: Neuer, unbenutzter und unbeschädigter Artikel in nicht geöffneter Originalverpackung (soweit eine Verpackung vorhanden ist). Die Verpackung sollte der im Einzelhandel entsprechen. Ausnahme: Der Artikel war ursprünglich in einer Nichteinzelhandelsverpackung verpackt, z. B. unbedruckter Karton oder Plastikhülle. Weitere Einzelheiten im Angebot des Verkäufers. ","","Unisex Adult","","","","","X-Large","","","","Drop Bar","","Does Not Apply","Carbon Fiber","PROPEL ADV DB 1","2022","24 Speed","","","","Road Bike Shifter","","","No Suspension","Clincher Tires","","","","700C","Sportartikel>Fahrradausrüstung>Fahrräder","CHF","622154","AEID-5183","7","US $4.898,00","ebay_switzerland_bike","2022-10-10 18:00:44","www.ebay.ch","Switzerland","https://www.ebay.ch/itm/325340326684?hash=item4bbfcb6b1c:g:P1EAAOSwWG9jHxZj&amdata=enc%3AAQAHAAAAoJbNn1oIbZpnr1Qo07bR4HOoK858rM1DQ5y4oGx5Ej2KOlpB2%2BmNhiWmgqk%2BamgI43m0nDwzLiJeST%2Fst%2BB%2BxSnbsATChW6D%2B7NydTtzuSZcPlA3UB4PP19dNEDi%2FtfoqpRq0wsRivjYURvSUwWuqQN1rY19IB6%2FSGhupbQF2dv%2BOtHBgePgrX08IkFpxGvDc%2BIlomMk4M9eTxQgP0hxT%2Bg%3D%7Ctkp%3ABk9SR6re8rD4YA","","GIANT PROPEL ADV DB 1 XL KNIGHT SHLD 2022 Road Bike - race Carbon Bike","","Bike"
"","","Mountain Bike","Disc Brake - Hydraulic","Giant","","","Multicolor","","","Women","","","","","Large","","","","","","","Aluminum","Liv Pique 29 2","","12 Speed","","","","","","","Full Suspension (Front & Rear)","","","No","","29 in","Sportartikel>Fahrradausrüstung>Fahrräder","CHF","622154","AEID-5183","8","","ebay_switzerland_bike","2022-10-10 18:00:44","www.ebay.ch","Switzerland","https://www.ebay.ch/itm/175438659994?hash=item28d8f5819a:g:PXYAAOSwWNNjGpYS&amdata=enc%3AAQAHAAAAoBE41ccmTUQMWvxJ8e36Lg5%2BYI%2Fa3%2B1HV8ZgGag13OiU0nCRke9kVAemkZC%2BWKFA0pUOAHeY5BLENQhidB737QFZu7V8WXKK5pQH0eH96Z43znUtqnnYAbI%2BmUWeGWRQhP48IWLpsdOuRBKSkacFi2SkvveZLn5Zged26zeb%2FKgZ87V6WzmU4MD4Q51t4pLkdSZtdC0moht7J3uz7w1mhek%3D%7Ctkp%3ABk9SR6re8rD4YA","US $1.900,00","Giant - Liv Pique 29 2 Large Full Suspension Mountain Bike","0","Bike"
"","","Road Bike","Caliper Brake - Side Pull","Giant","","","White","","","Unisex Adults","","","","","M-L","","Derailleur Gears","","Drop Bar","","","","TCR","","","","","","Road Bike Shifter","","","No Suspension","","","No","","700C","Sportartikel>Fahrradausrüstung>Fahrräder","CHF","622154","AEID-5183","9","£599,99","ebay_switzerland_bike","2022-10-10 18:00:44","www.ebay.ch","Switzerland","https://www.ebay.ch/itm/354324231434?hash=item527f5eb50a:g:HiMAAOSwmVZjHa3p&amdata=enc%3AAQAHAAAAoIIKW8bXrIuEuZniu30MLArtZxIsmHZDvGW2TD4Wu7UPpkSIX16y8SSM1%2F01obxweNrWj3xHU9gxC5isQAaqcjQdeTvfO%2B7ovbQDQiNx02EorDRHNHbHePgzXpTt1SRS2O8kVXRAN85S54BGYQZzeekc0FAZPsfotXcDgQWbVcLSjrXtQP00n4ASq8sjCI1kB%2BcGe%2FyIMl7YIXPQ0CBc%2Bkc%3D%7Ctkp%3ABk9SR6re8rD4YA","","Giant Tcr Full Carbon Road Bike M-L","","Bike"
"","1","Gravel Bike","Disc Brake - Hydraulic","Giant","","","Desert Sage","Neu: Neuer, unbenutzter und unbeschädigter Artikel in nicht geöffneter Originalverpackung (soweit eine Verpackung vorhanden ist). Die Verpackung sollte der im Einzelhandel entsprechen. Ausnahme: Der Artikel war ursprünglich in einer Nichteinzelhandelsverpackung verpackt, z. B. unbedruckter Karton oder Plastikhülle. Weitere Einzelheiten im Angebot des Verkäufers. ","","Unisex Adult","","","","","ML","","","","Drop Bar","","Does Not Apply","Aluminum","REVOLT 1","2021","20 Speed","","","","Road Bike Shifter","","","No Suspension","Clincher Tires","","","","700C","Sportartikel>Fahrradausrüstung>Fahrräder","CHF","622154","AEID-5183","10","US $1.798,00","ebay_switzerland_bike","2022-10-10 18:00:44","www.ebay.ch","Switzerland","https://www.ebay.ch/itm/325331222563?hash=item4bbf408023:g:1bEAAOSwifVjFciO&amdata=enc%3AAQAHAAAAoJIiRvd2HlcwbKyHtBHfzTiSEuZt3zJsMweI4EnG4d2hbl869pPyCwNu7hsSGkYozi1dvcmng6wYORTy%2BfO5G2gN8zoNWuj7G6VzcXL9GXtB%2FRBYBW9JFhBu8q9kt8AlkA%2Bh7eoyyJ%2FuwngEcWON%2FCYQKHTJdnc7fQHp%2BexQsR5sO2Hdy4zLRmD9kh9HEww%2FVFBF7jJt1lLjFwYNkcDMtLY%3D%7Ctkp%3ABk9SR6re8rD4YA","","GIANT REVOLT 1 DSRT  ML 2021 Road Bike - race Gravel Bike","","Bike"
