"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tire_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","Mountain Bike","","Giant","","","","New other (see details): An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item may include original accessories. The item may be a factory second (i.e. it has a small flaw that does not affect the operation of the item such as a scratch or dent). See the seller's listing for full details and description. ","","","","","","","xs","","","","","","","Aluminium","","","11 Speed","","","","","","","Full Suspension (Front & Rear)","Full Suspension (Front & Rear)","","No","","27.5 in","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","1","£1,500.00","ebay_uk_bicycles","2022-10-11 08:56:14","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/204116608079?hash=item2f864c444f:g:bj4AAOSwSXtjRHmE&amdata=enc%3AAQAHAAAAoEEBLUpTjtoZ3jESRz9hAwvksW45Q3j4KxyuPealITAsFyjdyN6EhX2fK4JFmNMgabiYsSPWjtg%2F61DGyalifiBrXGXWAr4pXZU2FdtTMRZcXrc5rfxYiU21hO%2Bc79iXyxXAVKxvzj5eVyVF%2BcDeU1sIEuIrxxGFL99woFVs2ikkpkf87oqlSUrfCWNlBcn2%2Bo3QNQ3BsPR339l7Kc0A4lU%3D%7Ctkp%3ABk9SR6zZkeT4YA","","Giant Liv Pique 27.5 Female Mountain full suspension xs ","","Bicycles"
"","","Mountain Bike","","Titus","","","","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or an item that has been returned to the seller after a period of use. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","Medium","","","","","","","Alloy","","","","","","","","","","Full Suspension (Front & Rear)","Full Suspension (Front & Rear)","","No","","26 in","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","2","£650.00","ebay_uk_bicycles","2022-10-11 08:56:15","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/175444694474?hash=item28d95195ca:g:ZQQAAOSw~iFjRJNj&amdata=enc%3AAQAHAAAAoD7SueUEpl4hloBXperaHGxInv%2Bd9s%2Bz1T6ljYgIzI5C0lxsxBskjxs5eqgYehcKjjck%2FtvxZ0AAq3t9h4l6u%2BNvizJOUuyI4pbEePsMO4nyRx%2FKCIg1klJ8W4EVXVe%2F%2FtVB4QA7ufxjm3n4yq%2FgtLxGTWW7CSW2F7dlvH%2Bq4SwsIjY0dDCCaUAUeXdUwcgtMQMZUGNRcqOYUBRVzddWNyw%3D%7Ctkp%3ABk9SR6rZkeT4YA","","Titus El Guapo Enduro Mountain Bike ( Medium Mens Trail Suspension Giant  ) ","","Bicycles"
"","","Road Bike","","Giant","","","White","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or an item that has been returned to the seller after a period of use. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","Large","","","","Drop Bar","","","Aluminium","Giant OCR","","24 Speed","","","","","","","No Suspension","No Suspension","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","3","","ebay_uk_bicycles","2022-10-11 08:56:15","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/155203245949?hash=item2422d5977d:g:uFkAAOSwsm5jQx9S&amdata=enc%3AAQAHAAAAoOcvDLQFeR6iyAQZScpJKsdmHUkJpIElcFQ7xTWKIb%2FPvjSISF1D%2F9y%2FTPGTznb4kPVo%2BfrJWF5U1JsvLWRh9LnJ0gTJ%2FBxKObODRP3Yeqe%2FbP69d%2BACi%2B%2FDIgBDPq6y2v2lQGs9IhyD%2Fo0mcRbH%2BoGw5qdQKwU%2FKgjrQIqnldmNAwoXhQYUzFF06i%2BFrtDIFnp0yxTDFW01YJiX74%2FMxzQ%3D%7Ctkp%3ABk9SR6zZkeT4YA","£195.00","Giant OCR Road Racing Bike Bicycle","0","Bicycles"
"","2","Road Bike","","Giant","","","Blue","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or an item that has been returned to the seller after a period of use. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","2020","","","","","","","","","Road Bike","","No","","","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","4","£1,050.00","ebay_uk_bicycles","2022-10-11 08:56:15","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/165719826909?hash=item2695abe1dd:g:da0AAOSw~VNjRH5d&amdata=enc%3AAQAHAAAAoNsxE39BmEpq1ywwHPpUnEDmKx95sjOvBWw7nfFQ%2BpQVVJWp7iTNJkSR2%2FkE2yW0mT19qsDk2A6dPitC7xAr16mEPI018DZKMkm0%2BzaeHVJ1Uh4k6rSnrKvx4OBspVYXDU9OOVkdedkE%2FGiRr2RpnjiLEyteZJSP6VEYJj6EI1vBwVxZvBBKy653CmHm4%2BVbUlwjSlOEKyfDNcnP3exNkis%3D%7Ctkp%3ABk9SR6zZkeT4YA","","Giant Road Bike - Blue, 2020 Model","","Bicycles"
"","","Road Bike","","Giant","","","","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or an item that has been returned to the seller after a period of use. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","Road Bike","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","5","£2,250.00","ebay_uk_bicycles","2022-10-11 08:56:16","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/134273875178?hash=item1f4358bcea:g:J1MAAOSw3q5jRIfF&amdata=enc%3AAQAHAAAAoDAgOH6K7tOtxnf9zQrXEyioYbM7tTctJuuE2X8w0jJ0KopEGQn9UDK50SsRRbsjKvk1nAv794QLYtRfciWWfXKCUDkjbIPOjnFz2c4JHVPMZO1gQOeA4mqKooDBt73oyyJN8hWAU6IkR50JAbV1aYb1RkEbAHZCCwZ8OXKXn%2Fu9LftJ7xC1XiVRzWFuJW5tSIBeOQVy934TE0TqoTCy2AY%3D%7Ctkp%3ABk9SR6rZkeT4YA","","Giant Tcr","","Bicycles"
"","","Mountain Bike","","Giant","","","","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or an item that has been returned to the seller after a period of use. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","Large","","","","","","","","","","","","","","","","","","Mountain Bike","","No","","","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","6","£895.00","ebay_uk_bicycles","2022-10-11 08:56:16","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/175444677224?hash=item28d9515268:g:xl4AAOSw3uli97e0&amdata=enc%3AAQAHAAAAoF4hDlkBuiq5WMJJWC4OUiZKsI0F%2BLsXmenc36EFlD2t87rsdb4MNHgfvMqAJCN7mOfkQ2eQgUjsUXzAljkY2kjvsxGZ6yP4qgsF5UgbSBVy421N0EW1iTPeXezZjBqHNkh5FMF5LgtyvAy6e2U%2Fl4hEBORGa0ckSAcASr7ELN9iqwQq%2FgA7KWCkrOAikVR8XKcX2XyFXDLvDdHa12LLQO4%3D%7Ctkp%3ABk9SR6rZkeT4YA","","Giant Trance Enduro Mountain Bike ( Large Fox Mens 1 2 ) ","","Bicycles"
"","6","Road Bike","Disc Brake - Hydraulic","Giant","","","Blue","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or an item that has been returned to the seller after a period of use. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","Medium / Large","","","","","","","Carbon Fibre","","2016","22 Speed","","","","","","","No Suspension","No Suspension","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","7","","ebay_uk_bicycles","2022-10-11 08:56:16","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/255769319821?hash=item3b8d0a198d:g:AdAAAOSwYGRjQ~Ed&amdata=enc%3AAQAHAAAAoP8LR997JYOW6gSXcporn%2BSMjHQ8tEbIBa%2FOaoDT8m%2FrwO5bMa2IZl9orfpw3RbRZT2uZ3Cl6ruIuz1yG0d5lQAKQGS1qr%2BQ%2FSUSVuw11RJkqrxJSm%2FqajNCT0oToEloQMlckqVR6l%2FjLfC7U8%2F3BSBVFeTQC0ZFnXw2P5wTP1Mz7jzQd08lSj5%2FX1gR1JQQCQffeBmHMyk4QAhyQS0YlQM%3D%7Ctkp%3ABk9SR6zZkeT4YA","£1,285.00","Giant Defy Advanced Pro 2 M/L Full Ultegra Groupset Hunt Aero Light Wheelset","0","Bicycles"
"","","Road Bike","","Boardman","","","","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or an item that has been returned to the seller after a period of use. See the seller’s listing for full details and description of any imperfections. ","","","","","","","56 cm","","","","","","","","","","22 Speed","","","","","","","","Road Bike","","No","","","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","8","£875.00","ebay_uk_bicycles","2022-10-11 08:56:16","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/304657737708?hash=item46ef0427ec:g:9S4AAOSwPMNjRJ0~&amdata=enc%3AAQAHAAAAoFLGwYpuU3I4LWEN%2BYY6TtmnY4ewvfsOzkJisx6b1%2FNcYhJ3Y3VxcIrPhDO14vfPiCWhu6mghs%2BtbMyuV9VieKCPDo5Ri5AA9%2FKG8hx6vPwZPJxFZh9hyOiP83qLMaLc5vnwfC%2FUP7qpqqHRtSKz%2F09rdMf4Uht%2BbnpNwiT%2BpRL5zsC%2B%2FW3eIvfFaGwvTV%2BBDVGFo%2BfROiib1vzynyJ7HFI%3D%7Ctkp%3ABk9SR6rZkeT4YA","","Serviced - Giant Propel Road Bike *info to add","","Bicycles"
"","","think this is a hybrid","","Giant","","","","","","Women","","","","","Small","","","","","","","","","","","","","","","","","","think this is a hybrid","","No","","","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","9","","ebay_uk_bicycles","2022-10-11 08:56:16","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/325377420386?hash=item4bc2016c62:g:Ni0AAOSw--Ji69GN&amdata=enc%3AAQAHAAAAoKqGHiBkpT1SRyBQ8O899jkrESLZz9phH5CO9rGziPPja9TH3cYAEmg%2Br0LXzh2OqmUnTrn6m%2FSmfoTbmQU3qj2cWb13ceJk9%2F1Wj5KWJ1e9kVCrZe4l91%2BvQRzy3yECbR0seY9QYC4JhaAU8scHCTXhpZ1UQQURM5VLNIuESQfhdKeMUKcRCX%2B3dcGzNMmyyzQ70xvl%2BWJ6aEVmWhhIWAk%3D%7Ctkp%3ABk9SR6rZkeT4YA","£20.00","Giant Traffic ladies' bike small spares or repairs#","0","Bicycles"
"","","Hybrid Bike","Disc Brake - Hydraulic","Giant","","","Grey","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or an item that has been returned to the seller after a period of use. See the seller’s listing for full details and description of any imperfections. ","","Unisex Adult","","Mudguards","","","Large","","Derailleur Gears","","Flat Bar","","","Aluminium","Giant Escape 2 City Disc","","","","","","Thumb Shifter","","","No Suspension","No Suspension","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","10","£400.00","ebay_uk_bicycles","2022-10-11 08:56:16","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/175445173991?hash=item28d958e6e7:g:z74AAOSwnGtjRR92&amdata=enc%3AAQAHAAAAoKpKEdlEtkMs833lUdm5Xs02BH3O79vPbhdNS7RWxQ82RGDUD1d%2F%2FYbnlOOoMfresejXDmffpyJ3Eo%2FbfwCbfdNc805JM2s5CO9EfGHQf8G2BPR2Ftb2vIyAZ1wes12b3Q0AJYJVhyhInehXGJWGJL9b1gPhGcblhYYQMUqj7EAleGyRDglWI47P%2F1r1xntZf2JRiXTEWAKZypO2avqv9F4%3D%7Ctkp%3ABk9SR6rZkeT4YA","","Giant Escape 2 City Disc | Large | Metallic Grey | Hybrid Bike","","Bicycles"
