"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tire_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","Hybrid Bike","Disc Brake - Hydraulic","Giant","","","Grey","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is ... ","","Unisex Adult","","Mudguards","","","Large","","Derailleur Gears","","Flat Bar","","","Aluminium","Giant Escape 2 City Disc","","","","","","Thumb Shifter","","","No Suspension","No Suspension","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","1","£400.00","ebay_uk_bike","2022-10-11 08:58:37","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/175445173991?hash=item28d958e6e7:g:z74AAOSwnGtjRR92&amdata=enc%3AAQAHAAAAoKpKEdlEtkMs833lUdm5Xs02BH3O79vPbhdNS7RWxQ823urxNeDg%2FwPVBgxnn62KJGqzwoW%2Fsni81U%2FXchrPiaSt3FVIKRc8tYrkoWfrbCHTwHzvvL%2B%2BcnBEQrmxu7WRwtPYIZdxM5cPMmt72n5I8azoVBop5%2BmM0gkFvuOcOaufa7sg1LAgBhnLpncod1HwJQzAx1usAVc73m2u0wbVOU4%3D%7Ctkp%3ABk9SR_aEo-T4YA","","Giant Escape 2 City Disc | Large | Metallic Grey | Hybrid Bike","","Bike"
"","","Mountain Bike","Disk","Giant","","","Black","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is ... ","","Unisex Adults","","","","","Medium","","","","","","","","Brass","","","","","","","","","Front","Front","","No","","","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","2","","ebay_uk_bike","2022-10-11 08:58:37","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/195406425479?hash=item2d7f216d87:g:-D4AAOSw3O5jRGoE&amdata=enc%3AAQAHAAAAoAHqeDi6dfU%2B1Yfb9vd%2FQnm7r7GRUaCYv6eJUZPKJrHNfGJJO%2BxM3ME7Th3LYPcUjmkQlvpP5pybyDTKWnGXCPd9TXRRFxnlxdSARyOC%2BGXQOpRAv%2FN1uC2JEIXVI%2FLgEPkd7Bf8Nea1AowzDi3%2F0y3CTv3SF6SW5IXUU9s9c3jkkJcGUY3ESnpZlTGlk6aYQTi9BnmZgcbqeZ3oOpUy4QI%3D%7Ctkp%3ABk9SR_qEo-T4YA","£249.00","Giant Brass Mountain Bike - Medium Frame","0","Bike"
"","","Hybrid Bike","Disc Brake - Mechanical","Giant","","","Grey","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is ... ","","Unisex Adults","","","","","Medium","","Derailleur Gears","","Flat Bar","","","Alloy","","","21 Speed","","","","Trigger Shifter","","","No Suspension","No Suspension","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","3","£250.00","ebay_uk_bike","2022-10-11 08:58:37","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/385163259981?hash=item59ad84f04d:g:HFEAAOSw1DljRGnP&amdata=enc%3AAQAHAAAAoPzknZLrzYl5RFSPmBlOi%2Fyl2eSsQaaasv5ygiaZydqi4BHnBbABx26i4VmjF5M5rYF69gZQCIhXLjM68EYv%2FaZeeglPpxj5U6TOBq8Bz%2FgDhMm%2BVm5igZvfSagceTOSK9IVA%2Foq5uHFxw%2BIksPlmCKSdRQ7bZEDiKaSxj4GTiAuoJ0fH0mm5di2QynhTpFiB%2BeQqHR25PX3Hf6YJxT5P58%3D%7Ctkp%3ABk9SR_qEo-T4YA","","Bike 3","","Bike"
"","6","Road Bike","Disc Brake - Hydraulic","Giant","","","Blue","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is ... ","","Men","","","","","Medium / Large","","","","","","","Carbon Fibre","","2016","22 Speed","","","","","","","No Suspension","No Suspension","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","4","","ebay_uk_bike","2022-10-11 08:58:37","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/255769319821?hash=item3b8d0a198d:g:AdAAAOSwYGRjQ~Ed&amdata=enc%3AAQAHAAAAoP8LR997JYOW6gSXcporn%2BSMjHQ8tEbIBa%2FOaoDT8m%2FrC2S0p076JPVDtqkL3hSiPuq4K2KI%2FgcMGdeNoeoc1sh5HfImORVmPKmqrOdQ6nwvTNaiyXuU3rKV4gb3ktAKM%2B1tQVi34c6qrTnqCKYucxIoKfGZY4zjNIchxWcTp1l%2BCrBlVZJUVrznaWERzht8xuBuxiSuOnMHLoQhfezxO%2BM%3D%7Ctkp%3ABk9SR_iEo-T4YA","£1,285.00","Giant Defy Advanced Pro 2 M/L Full Ultegra Groupset Hunt Aero Light Wheelset","0","Bike"
"","","Mountain Bike","","Giant","","","","New other (see details): An item in excellent, new condition with no wear. The item may be missing ... ","","","","","","","xs","","","","","","","Aluminium","","","11 Speed","","","","","","","Full Suspension (Front & Rear)","Full Suspension (Front & Rear)","","No","","27.5 in","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","5","£1,500.00","ebay_uk_bike","2022-10-11 08:58:37","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/204116608079?hash=item2f864c444f:g:bj4AAOSwSXtjRHmE&amdata=enc%3AAQAHAAAAoEEBLUpTjtoZ3jESRz9hAwvksW45Q3j4KxyuPealITAszCeUteL8%2B4xxypLMBmwMge0%2B9%2BEX6TPekcipPHvDyTqjgN88hzr0EhsRyad9LU75AglQHeaDez9doxSpbnN07Jk%2B%2B0VzAxoY8VDFgseyxLDXQSz9o7EJfTEOyJQMOsi8p6JtjtRBX1FchQagY4GbelPrhaRsId9V47eEfIW61eY%3D%7Ctkp%3ABk9SR_iEo-T4YA","","Giant Liv Pique 27.5 Female Mountain full suspension xs ","","Bike"
"","","Hybrid Bike","Disc Brake - Mechanical","Giant","","","Grey","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is ... ","","Unisex Adults","","","","","Medium","","Derailleur Gears","","Flat Bar","","","Alloy","","","21 Speed","","","","Trigger Shifter","","","No Suspension","No Suspension","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","6","£250.00","ebay_uk_bike","2022-10-11 08:58:37","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/385163258184?hash=item59ad84e948:g:HFEAAOSw1DljRGnP&amdata=enc%3AAQAHAAAAoHYHcpbN3zS6hBOpFS3i2%2FIpEtJ%2F6O9rUC0duN3ST8UNCkXwk7BtiO3cPWzZel%2Bl2noNcnai2tYPpxN%2FySerm01Ar7wYHYynXkIZBkdaHdQa1UXdD%2BjmJLs5O4S7avuaFuDLLww6Vs7eliEfLMgT97hOP1xXiCnXWg%2B8pf6ynkVRjfe9KCaScVYgBQt5jJKhER2xXDdSmgMj1bNXQuIBgzs%3D%7Ctkp%3ABk9SR_qEo-T4YA","","Bike 2","","Bike"
"","","Hybrid Bike","Disc Brake - Mechanical","Giant","","","Grey","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is ... ","","Unisex Adults","","","","","Medium","","Derailleur Gears","","Flat Bar","","","Alloy","","","21 Speed","","","","Trigger Shifter","","","No Suspension","No Suspension","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","7","£250.00","ebay_uk_bike","2022-10-11 08:58:38","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/385163265031?hash=item59ad850407:g:HFEAAOSw1DljRGnP&amdata=enc%3AAQAHAAAAoNFts%2Bl3ZiANNfM6Hyf5qOiNrpQ1BfWqwnlxC%2BW7RL6Wm4sJJR3PLudId%2BIwIHhNJ6ps5U4eMASJipwmoWH9PuyORSFZ3uOrc8jXTNi7k1RuIh4UTmFN0IJvbvLLaKtSjxSllGJzalxYAEQHN0rKR40%2B4wyBxGq1ONLyiBBETwW47oajaoAYq79WRq5lH6kipLBCp9uZljY8cIOzPAaZsts%3D%7Ctkp%3ABk9SR_qEo-T4YA","","Bike 8","","Bike"
"","","Hybrid Bike","Disc Brake - Mechanical","Giant","","","Grey","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is ... ","","Unisex Adults","","","","","Medium","","Derailleur Gears","","Flat Bar","","","Alloy","","","21 Speed","","","","Trigger Shifter","","","No Suspension","No Suspension","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","8","£250.00","ebay_uk_bike","2022-10-11 08:58:38","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/385163262562?hash=item59ad84fa62:g:HFEAAOSw1DljRGnP&amdata=enc%3AAQAHAAAAoOWZyzbOPGVL32WKiGIWqOpUrqmv%2Fufagwo5dTz0xp8%2BzwX2ek%2BnRj%2BF9f3TGGzTh8X%2FvqyaB3EZbf3UDeAj1oDziDVTG%2F4foTHXLw1hNAiNXZ%2Br689wnZTbEx%2Fpjvo9GvY%2BAkjNKBGZl7jM3hZm2JPz7BNChvYW5NZYGWT3jUnNJCKODx0O85xK1EFZTQnWcVJgn8eH42EkSmEq1lWZSYM%3D%7Ctkp%3ABk9SR_qEo-T4YA","","Bike 6","","Bike"
"","","Road Bike","","Giant","","","","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is ... ","","","","","","","","","","","","","","","","","","","","","","","","","Road Bike","","No","","","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","9","","ebay_uk_bike","2022-10-11 08:58:38","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/234729129942?hash=item36a6f247d6:g:lV0AAOSwwZJjRGGa&amdata=enc%3AAQAHAAAAoILKn4kmmE59rACCAXxVdJz8%2B0rAjWOuyROz0KWL%2BqEYatOA569HPyVpYK35ZHTVhYf%2BZEfep1S%2BfRq8MaYCM%2FqXFpJeUheG1%2Fz2m0F%2Fix83cxQWLzEt3IxdaxC4Iz6z%2F9tHeWg6GTYg2DxjaiVFx%2FECF7xVc0LUfBt%2FCxujBhEAZcPGgHYzMuAPWk0kUdd760tZP%2F2IvGsocUSAZxTdR6o%3D%7Ctkp%3ABk9SR_iEo-T4YA","£1,450.00","Giant propel advanced 2","0","Bike"
"","","Hybrid Bike","Disc Brake - Mechanical","Giant","","","Grey","Used: An item that has been previously used. The item may have some signs of cosmetic wear, but is ... ","","Unisex Adults","","","","","Medium","","Derailleur Gears","","Flat Bar","","","Alloy","","","21 Speed","","","","Trigger Shifter","","","No Suspension","No Suspension","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","GB Pound","622154","AEID-5183","10","£250.00","ebay_uk_bike","2022-10-11 08:58:38","www.ebay.co.uk","UK","https://www.ebay.co.uk/itm/385163260944?hash=item59ad84f410:g:HFEAAOSw1DljRGnP&amdata=enc%3AAQAHAAAAoLhfSBWnm%2BAooTGLUiNSFMZc7Ii7WzoUXtjNw1Xkpd1ORrxFNMALRzE0CrX6qoartcqWKSZZrih%2FFvv7kGCd1eZwKC%2BkM9pMiikp6Ta138wqbFZLRp0Na7FF9sDMn7BrxOZyKv0h8xaM8mUZ4RiP6To3jpUwMPsTyanOvgTgpvsKA6Vwe4SWxdvz4PphIAJIzDzYX7onj0zX%2F0VqTO5Medg%3D%7Ctkp%3ABk9SR_qEo-T4YA","","Bike 4","","Bike"
