"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tire_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","","","","","","","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sporting Goods>Cycling Equipment>Bikes","US Dollar","34210","AEID-5183","1","US $1,299.99","ebay_usa_bike","2022-10-10 18:05:48","www.ebay.com","US","https://www.ebay.com/itm/374289231486?hash=item5725606e7e:g:DnUAAOSwMoBjO3Qw&amdata=enc%3AAQAHAAAAoKydrn3SQbql7iVD6ysslbpbtOgASOLVneudy3oRljcYmuSLLyIrzncz3CTZVATlGFExnsLrrAld2jc9k8%2B6blFnrlDbsVPuvMWv7EKBimpD16Th1nd%2FvlAF5pdKZ9TMkKBFdCKhfkAqQDDFwr71oF5loK0U7zcfBuOBm%2BueIWshTIJTQe0BG5du%2FjbUZAs9W2KEaLfVtFh9Oaz1ekKzi5g%3D%7Ctkp%3ABk9SR5j2l7H4YA","","USED 2021 Giant Fathom 29 1 Small Hardtail Mountain Bike SRAM NX Eagle Green","","Bike"
"","2","","","","","","","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sporting Goods>Cycling Equipment>Bikes","US Dollar","34210","AEID-5183","2","","ebay_usa_bike","2022-10-10 18:05:49","www.ebay.com","US","https://www.ebay.com/itm/125547230773?hash=item1d3b32b635:g:8ugAAOSwrdhjPUQT&amdata=enc%3AAQAHAAAAoJzUHcMTlNdLXzacqvaPSLoKRA1V8dBc%2Bs7eciw%2FdZih6ScEuYt56R8qChwOb1tEto7VopYRHVVwSAuU24PbL1VwrXluqzloZ5PYj8qfwWHh77R6%2F%2FDr74bFdwpgoRNc4fLbp98SjcfLYM6ty9B%2FjuWnbx24O5OelSvNLbL8bpXU7LKkWSCW8687WZ938B8Z%2FLGgCIc4e5MRyGFgjv4twv4%3D%7Ctkp%3ABk9SR5b2l7H4YA","US $1,800.00","2020 giant revolt advanced 0 gravel bike medium frame","1","Bike"
"","","","","","","","","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sporting Goods>Cycling Equipment>Bikes","US Dollar","34210","AEID-5183","3","US $380.00","ebay_usa_bike","2022-10-10 18:05:49","www.ebay.com","US","https://www.ebay.com/itm/364010786371?hash=item54c0bbce43:g:sAgAAOSw3EFjQ2Vz&amdata=enc%3AAQAHAAAAoMTpkm0XYtnHEtEHvMNE3g8UjiJ%2F8YcFTxGnzT9g5jyNd%2BKdUUMZUhK354Ikw83yLJVH14dzHTe2%2F6%2Fog4%2BrONC1sbLRRLcTUFidKucdPQYgIdNBu2sROAJaCr%2FtcJjntrQ33H6K%2FFKM001tjSQZWZXjwMu0KrUICCF2hjp%2BqZiERLBAJ9Be2vZtjAttWkObPtNBupkfmzf1%2FGlK4YcB1VU%3D%7Ctkp%3ABk9SR5b2l7H4YA","","giant mountain bike 27.5","","Bike"
"","1","","","","","","","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sporting Goods>Cycling Equipment>Bikes","US Dollar","34210","AEID-5183","4","US $450.00","ebay_usa_bike","2022-10-10 18:05:49","www.ebay.com","US","https://www.ebay.com/itm/275492242618?hash=item40249e04ba:g:mRQAAOSwAdJjQWKx&amdata=enc%3AAQAHAAAA4FejwOHWmZJIDAL%2BTsq1KTXqzORsnjMG%2F2Bb5UvyZcAdcv%2FwXOLBLJQRp%2F%2BqKIGubI7yQVAt60mRgKlYTEtDd27dqtMQtk8d%2F8lZXikjgymQy8j9nVIzLCnZPMyumAOKKUAcuQPAvK%2FNIkp%2BJlE0%2BgQZYAhixq%2Fyps6DxSqeUCe1%2FTYbpMA9v1kiMy1mdQu%2Bf%2FR09ICK4rd4oqexdTIH8mI9O71ezQavR2s9%2FfqXuCQmIJAk2MRo3i9hiT%2BhFVFxxitcFEYb8zgVry%2FCO7ZNGXqggRZTMUTbuNyXUBssfiuJ%7Ctkp%3ABk9SR5b2l7H4YA","","GIANT TALON 29 2 CONCRETE L 2021 Bike - MTB DISC BRAKE Mountain Bikes","","Bike"
"","0","","","","","","","New other (see details): An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sporting Goods>Cycling Equipment>Bikes","US Dollar","34210","AEID-5183","5","US $525.00/ea","ebay_usa_bike","2022-10-10 18:05:50","www.ebay.com","US","https://www.ebay.com/itm/185550021945?hash=item2b33a4a539:g:UqoAAOSwIZhjBSNQ&amdata=enc%3AAQAHAAAAoAxqsD081OGmihjUqQhxsOlre7Bq0ib7WGSCGseha0gT9ajxZO%2BylqLoDdCB24GfMZvudSEFlrSCniqR%2BDUgpO%2FGn7ZjFhzKWgjUXWj7YNeSE7RRRssTZaDl6yhuqYnksGPOHqeQnmR3Fe5MP0cgn6n75Hd36Y3FOmzjflHVUGFkeDTYVlf6cP23EycwTmA3qAKQBvkOSrBUA4Do7yyjA3M%3D%7Ctkp%3ABk9SR5b2l7H4YA","","Momentum UX 3 Speed Belt Driven Medium Denim Blue","","Bike"
"","","","","","","","","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sporting Goods>Cycling Equipment>Bikes","US Dollar","34210","AEID-5183","6","US $875.00","ebay_usa_bike","2022-10-10 18:05:50","www.ebay.com","US","https://www.ebay.com/itm/284992033793?hash=item425ad95401:g:RFMAAOSwFTdjL7VJ&amdata=enc%3AAQAHAAAA4A2AGsst4tzJj0rj135rJyMBMvTpxMHLaD7lDTq8hhi7nOqalwaJBgD0W%2F%2F6llY6YFQ3S9PozS0hdJNkJuzciYOHp%2BKM7WCd3SBiHdiMZ2avmyAJbRS4WBUwIUV%2FSKPIVXcfs1ZhMTInuuQxSXSqYZxGgV4AOsZMBatDvrtNpmgFZBGyJ7M6FI7eXv0DainbjCEY6sv3mM0SE0Hn9tj4o9%2FLGcdYV699WLWWHEGwkZnpeSN3Rj3PSgL2kv6Hw0bCtuk8FszZWt3G4TWr2WxNr9MlBwBUohCCAZPCiQTM5dN1%7Ctkp%3ABFBMlvaXsfhg","","Giant Trance X3 26” Full Suspension Mountain Bike ","","Bike"
"","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sporting Goods>Cycling Equipment>Bikes","US Dollar","34210","AEID-5183","7","","ebay_usa_bike","2022-10-10 18:05:50","www.ebay.com","US","https://www.ebay.com/itm/255766606888?hash=item3b8ce0b428:g:Vs0AAOSwIZZjQdql&amdata=enc%3AAQAHAAAAoBm1LZCW4v2myPoYR4eO3y9xmLtP02V6%2FVlRXizxw7nsQNQWTogEx5kXu7Ds26PUrG2o4PaIsLwC%2FBHc2C4AHbJDo0Vw6KR6eBiicA35Qnt8D2%2BMPKvGgUVFOEHAWcxYwZcl63A8HNn%2FVM53JdBjnKv0rRpmM0JZJsb9HEsoL2DJ%2B49rrPPtHfhrehg8dLNmu%2BifsJeolahpEIzAOpYe4io%3D%7Ctkp%3ABk9SR5b2l7H4YA","US $525.00","2021 Giant Revolt 2 Gravel Bike - Trekking Green - Medium/Large","4","Bike"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sporting Goods>Cycling Equipment>Bikes","US Dollar","34210","AEID-5183","8","","ebay_usa_bike","2022-10-10 18:05:50","www.ebay.com","US","https://www.ebay.com/itm/265922819614?hash=item3dea3c361e:g:9ywAAOSwJudjP3qs&amdata=enc%3AAQAHAAAAoBojkYJpAq2wrpDeaSF0q5Hu2cJY2qLq%2FlCMgk38g3CkXB0A1Wt%2B6egxmxRSVD9vTQau1Y7Ps3cEbxAbSFgzFp%2FYFlbbFYnLhd76NXyJ1t9oA1qUcAxkkuoAGL7Pe3GKh82wa73S%2BM6cq7MnUMNZwQC%2BzitX3YDruS4gsGtzUUWGsFYsHPxTsoJiUMPpxIDimpgsVtDs3uGRiSLjgrJNxoQ%3D%7Ctkp%3ABk9SR5b2l7H4YA","US $139.00","Giant Sedona DX Hybrid Bike blue womans Comfort Road Trail Aluminum Bicycle","0","Bike"
"","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sporting Goods>Cycling Equipment>Bikes","US Dollar","34210","AEID-5183","9","US $141.41","ebay_usa_bike","2022-10-10 18:05:50","www.ebay.com","US","https://www.ebay.com/itm/264484589158?hash=item3d94828e66:g:UaAAAOSwlz1iZt7K&amdata=enc%3AAQAHAAAA4EJxx%2BZKC3uXgoIibwKfqjYsXW3k%2Bjp8apc6N6Z6a4DVm%2FELSX%2BHDrsPXUn0qBtR1z2Xh97Txr7NIQ571Tk%2Fj3y42sb3PEvLV%2BxhD2u2ruv%2BQMA5V8mXi%2BtaoYqsVLQok%2FReUGEHVtdAu653lZCY%2BtMO02y2mEv3LeBdkxmuGu1BxGUbTlAQejb4zgKcfYCPXsDkrDK0%2Bqee7y%2BSfzUP%2FszU4UXXZFv%2BLmPqvNn2lA6LLPkKry41E%2FrE%2FIg0Q9sY1BNchzAVBLQay7hpUJ6VnGo1l9jdXLCaepOSYC6IpvGu%7Ctkp%3ABFBMlvaXsfhg","","2013 Giant Off Road Sport City Hybrid Bike 44cm XX-Small Shimano Fast Shipping!!","","Bike"
"","","","","","","","","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sporting Goods>Cycling Equipment>Bikes","US Dollar","34210","AEID-5183","10","US $550.00","ebay_usa_bike","2022-10-10 18:05:50","www.ebay.com","US","https://www.ebay.com/itm/175441065021?hash=item28d91a343d:g:saYAAOSwuipjQISB&amdata=enc%3AAQAHAAAAoHP0OOF2Zs%2FTSQ2hCAzBdofTngxcEYMHS7wA54M5YYxpawWwCFNYTgggpy0ZXFrR1i4kzTjzOe%2F4wyPuy%2BzeM3l1c0oIOmgFgH%2FYw%2FOH4UONBiVVdNt2m02qIOUGqjP%2BjPz1n1m%2BLcRtIQhJeX9Tq6vNZla123zev0h8rw6fHBRrNHI0zm22rrCMuwpHisi0fEFd%2BESYDugbpgpr7cOBgbU%3D%7Ctkp%3ABk9SR5b2l7H4YA","","Giant Talon 2 27.5, Size M, Dropper Seatpost","","Bike"
